,YAR002C-A,YBL039C,YBR126C,YBR154C,YDL100C,YDR063W,YDR174W,YER012W,YER025W,YGL011C,YGL048C,YGR083C,YGR086C,YGR087C,YGR155W,YHR018C,YHR128W,YHR179W,YIL109C,YIL155C,YJL001W,YJL066C,YJL088W,YLR314C,YLR438W,YMR012W,YMR202W,YMR229C,YNL016W,YNL138W,YNL216W,YNL287W,YNL312W,YNR016C,YOL086C,YOL097C,YOL151W,YOR042W,YOR198C,YOR276W
YDR490C,6.508758487674418,5.4259890733094185,6.861635410893254,3.5863570897439785,5.5827206035014125,5.312382953000713,4.981405453338784,6.326287430912452,5.026102985360269,6.334962491557425,6.070314662911607,4.084246480721437,8.340389943023062,4.3559357799496405,7.8213178313068275,7.258788024387691,6.377665601393706,8.39562936662822,4.498023291114482,4.823169069239879,6.49295338315261,4.445162797161025,6.587160684412089,6.25506773471969,3.827028747522216,4.791336059088028,5.947057293763528,4.719983883450759,7.30702216371387,5.337332399841129,4.3742553753948235,6.0213104050780535,5.318178531453781,6.936141216179348,9.990640280994787,6.323842221708641,6.247980311508317,4.8142578511278185,7.078476318951619,4.897392031062912
YDR523C,6.457329461331828,5.375449400353178,7.036015162168104,4.228593892932278,5.5436755847197485,5.074792145692547,4.703000241290574,6.0931244610259565,5.528617753221346,6.417103421055738,6.062513675749242,4.3054710082983245,7.993583664979483,5.113306463610072,7.674508709517156,7.573181490789782,6.375089846582867,8.654963248300383,4.350590767116732,4.9065924601208435,6.746910986703286,4.527172535442774,7.1810332926249405,5.907435261921059,4.3761777119721685,4.447606294686561,6.328791422739111,4.5802796927383485,7.3921368138826065,4.768370513906146,4.6830609634221885,5.823729012065224,5.078898004243794,6.940018442144518,10.291892548104169,6.292925434668013,5.7075765896036215,4.753509433464882,7.045395432988701,4.864770813926781
YER129W,6.391723809124002,5.372611321888554,7.3367421280318466,3.3777851184973486,5.895977627261863,5.477054359027402,4.89555011785118,5.859188794607043,5.460169831483692,6.480350286783072,5.5994200052341805,3.6095167119118683,7.991334380011406,5.496925511540805,8.311668588490797,7.0341479830031215,6.21927559340117,7.635099430356572,3.3924787168815405,4.260069052004482,6.3131066131449005,4.428390654786165,6.197615651877752,6.2910970826553045,3.4258103644444065,4.382632545421142,5.773754852642878,4.132233517952505,7.421639035669759,5.432244859709128,4.958022432483093,5.4830634038895525,5.515178796205257,6.3847387145044,9.832719152824147,6.3376813468341195,5.649609863537798,5.148058084578486,6.772258291136112,5.1565943743094085
YFL033C,6.698299168187997,5.734258249531188,6.683583446726385,3.2859201732535563,5.674202982846142,5.276814071203893,4.703943664777488,5.916660195042058,5.815142204538135,6.407353429756224,5.8059666811204735,4.0448855109828665,7.977135309612466,5.667960680402098,7.635757123749975,7.155950537208311,6.341467472491457,7.345035231547032,4.575406905063784,4.984312630679344,7.252672152253555,4.177336850937581,6.560114418728343,6.024989534920543,3.4019937589805225,4.893201115064531,6.017635681883937,4.483193350085024,7.353418732502456,4.821022501102939,4.544177898492161,5.754771998192086,5.0773675386696215,7.459910008888085,10.059951294145332,6.22782773799825,5.2336791098713835,4.713391281043335,6.7837349215655385,5.078930115684998
YFR014C,6.5995404092921675,5.117596537557587,7.16868288073554,2.8562995191137337,5.873886354866568,4.976768557301613,4.79559653183001,6.1057466160479965,5.191041703276405,6.554139976632534,5.66849431246897,3.7987118276913,8.075108680120827,5.144156913465872,7.9585646104305905,7.150494746490872,6.294159158685068,8.041039448769231,3.996048665729104,3.8914153972181333,6.643736083722388,3.9643133806115287,6.00753245740047,6.214201871906469,4.323049056123342,4.233225391286319,5.847193826089481,3.9942243973660374,7.354068133109119,4.8489758091686985,4.439810139196876,5.345745781132055,5.270960735279359,6.451482240344013,10.105073100948651,6.5895646528179,5.663332614101049,4.772487985061304,6.979857128937267,5.0954008562702
YGL021W,6.4520576271447405,4.878385800056131,7.608770013561957,3.7311351366431733,5.656735891219092,5.411912842784034,4.815535311465854,6.082343820908428,5.049316741808637,6.510029959736309,5.763696611561454,3.6360308467713285,8.279362371921966,4.739859842136763,7.9370964506269885,7.280310535733903,6.331891966372661,8.049939745977326,4.384618383764184,4.394273973227073,6.6315461195932786,4.41441843954944,6.086234233782281,6.1963335745160695,4.4257793625549535,4.5996298551748245,5.708738509350906,3.767142505617938,7.193928033637444,4.896203419715984,4.697974877606877,5.566585867142097,5.062488636779363,6.373494953143816,10.154419413079873,6.450206194193015,5.732583455034693,5.151589844514048,6.913277201462262,5.082783784732895
YGL083W,6.4172301099701485,5.11617675973755,6.8713328880052265,3.2091624179918194,5.747841769937657,5.050716590349392,4.7065859849118015,6.001326594227746,5.204735726493069,6.422574883798274,5.787347865738349,3.5734559611125425,7.9945283870055155,4.895037850557936,8.095568702046302,7.225369418264022,6.3473532663602406,8.181848152781273,3.657837181942421,3.736907285262237,6.497188883391076,3.7798146689539376,6.1882598329572485,6.003948113435383,3.7087945791188615,4.364858564359558,5.922064891271696,3.7744062243906975,7.346578877824753,5.032133244330724,4.409404814949643,5.145816454162384,5.2335226091831775,6.337476966012548,10.057014173707092,6.423259323661699,5.6338980628252395,4.506727559955781,6.9181234487680765,5.116243989654522
YGL119W,6.501402628993271,5.380855501723733,7.023637069359503,3.6837256414917965,5.768923591076571,5.292995481080374,4.941751175678399,6.050232137900068,5.07743066775475,6.2538399406184055,5.786321062697568,3.7587354347915936,8.331142485108304,5.259846565632317,7.894747014107837,7.337556619921327,6.345563822961488,7.550358606838193,3.6526372325194947,4.768494918951928,6.433134486194949,4.6038415486480035,6.76763145919932,6.175727714063027,3.568563765272481,4.57117169334372,5.814676711409537,4.368269795578545,7.333376471914478,5.208361846949962,4.631085493665727,5.998011528178709,5.147598852990873,6.715864061716817,10.521398414525573,6.286553471055865,5.6325419376453425,4.812986538611873,6.79912466577725,5.092467704531368
YGL158W,6.343501374021437,5.830299350436713,6.7512059067531345,3.3270336312348223,5.187044046977404,5.214266990333564,4.9160995195517785,6.18121978340286,6.090277472153567,6.401981411965176,5.668285170882416,3.87396455429696,8.000633121625222,5.4486260414762855,7.7915500609807875,7.323565317983662,6.378497368505392,7.749939650599077,4.712197582752927,4.321615035535953,6.101613148379703,4.14784419149841,6.334711399761801,6.036918869003262,3.092945704638967,5.481970921710611,5.878419385090684,4.945644775564066,7.329796290302749,4.59769231504368,4.2145881063661,5.830695684453268,5.103041307114039,7.409042413541467,10.294589331491947,6.301315957639456,5.465586345836881,4.892071484875019,6.634782826266687,5.064133650150061
YGL179C,6.60339570807523,5.605521169635075,6.693061700832952,3.5481271501261102,5.684601185732228,5.231472482305068,4.9038742527364265,5.96294472594538,5.204832136795922,6.469435551396874,5.810858749616648,4.097703096389416,8.208610405668418,5.577244199987316,7.865310358747605,7.2108979271613824,6.369925987443332,7.506795749935918,3.941126296587413,4.807657524345825,6.3929118046033935,4.306556306722529,6.537771571616845,6.132672338483639,3.9261921737883583,4.760765196924765,5.7384021417502025,4.721383591752813,7.351033587745949,5.1605090458278005,4.467046996437843,5.839828125592603,5.155674304749553,7.138624760151548,10.155777863019784,6.343071130221442,5.19858434770251,4.6597099270816615,6.935666840235215,5.112028324309828
YGL180W,6.537409127689977,5.225686802120949,6.774090325339531,3.645690678188656,6.061142938563912,5.080111536293309,4.681693617741256,6.030942679743568,5.0061332025009495,6.381966294445245,5.461579459624626,4.212280997903966,8.235059040562508,5.306778704946174,7.93592519153808,7.2180960084572,6.15922422528138,7.985948402128043,3.9620501394359464,4.447491946842875,6.451805012002519,3.8329145865414826,6.3247609225075125,6.194007847374006,4.0773232018615975,4.848615120440799,5.687333884719429,4.533480328024376,7.299420889718107,5.121151473872046,4.200078668013813,5.628200344348223,5.022612745393693,6.7509931604441595,10.228308883306607,6.433420642084906,5.563624650640786,4.680211023693921,6.731501342175203,5.058293690487647
YGR040W,6.587719309725445,5.7372402651674905,7.1504655111648185,3.7263601906810377,5.1662090498973425,4.782757683194565,5.141618299852332,5.908544995542928,5.97172783630583,6.421510715349232,5.52701566687221,4.7421887777682485,7.923841873805102,5.725317843254688,7.655182375716349,6.903482858768867,6.3774977426600135,7.674287413454118,4.134788768785511,5.267247660851844,6.448985294893485,4.198387975515932,6.550381737138723,6.031704975249829,4.073741325355321,4.90177306490888,5.600292623791257,4.63116633752632,7.455562480472626,4.995510659869754,4.565689627081935,5.5089192519728085,5.217215103494535,6.793156217912745,10.30591072522092,6.4097573964379855,5.331391589210641,4.630045157871827,6.517259900392539,4.972104717139233
YGR052W,6.864194282676388,5.500301617392074,6.6765773610472845,4.485284306507699,6.473361190908133,5.301493058147911,4.9979061191870136,6.169487531385214,5.079501614176311,6.638955590906893,5.593540898738984,3.5536135033882603,8.390469512312205,5.087410399966594,8.165799213316102,7.114309717296089,6.069638711392275,7.393700714772589,4.521927083907209,4.30387623907579,7.045651128041438,4.237403968449311,5.7923756308954575,6.507333112150485,4.307178702416811,5.117534429554997,5.186357250263577,4.312217016816153,7.459585732803682,5.465026487467243,4.753111648048122,5.629597402846619,5.305097062041159,6.573157877359318,10.313817046282603,6.398966974724144,4.75532214469975,4.145943352433732,6.5435590541801485,5.264364971843568
YGR092W,6.405178777466889,5.81208379901867,7.427270105086068,4.434642891938736,5.731543612183706,5.149861218015478,4.5358134589801065,5.994326910229932,5.915598569502113,6.23489280151016,5.9592441857384415,4.063827172205962,8.135633734280917,5.105775801067762,7.645708257307413,7.498344092197473,6.673912196287503,8.338005239013704,4.477692546697881,4.923428062454738,6.440558277725476,4.441662626282168,6.413864467431166,6.002650377668491,3.777221682060667,5.133505212718694,5.841643772911472,4.929131809940584,7.169491075400022,4.622412765266168,4.469167702126679,5.886490083826111,5.112762458458168,7.585782118173308,10.24786716570828,6.240221228380951,6.147546243915973,4.9786648267847715,6.785392469713606,5.0726261449384955
YGR188C,6.309639586476539,5.674322011845255,7.244261034964877,4.0126078714906965,5.568368325705415,4.934331908974633,4.998231928926953,6.274060094185902,5.343117959991949,6.437873329816159,5.943618073363032,3.7891174719142433,8.109756946948178,5.506665737195891,7.6870177672930815,7.507606929526273,6.6935831110721855,8.338258524087488,4.527250798827568,4.887247114428292,6.680913130516522,4.119936966949717,6.360119208848041,5.9583707223031475,4.112771638337647,4.44612594446611,5.921876363061607,4.684331418759876,7.319583036965056,5.26686663865984,4.440699076081594,5.8017479387255575,5.006969972176448,7.060796171929175,10.150649508238656,6.511935300108171,5.74934852129847,4.844459131443694,6.765283314470498,4.863726995101274
YHL007C,6.231253132535434,5.875745133407798,6.416054968882908,3.8145946751085495,5.5949150321939145,5.253012225944,4.30423802699248,5.910828822900762,5.793160160375397,6.014400959228068,6.017741239189119,4.090320766116373,7.810074973282441,5.475258459343832,7.550208116226496,7.61277911556112,6.818716558226975,8.926695074685485,4.637833762961259,4.582670369656585,6.275952489333244,3.7042612017547705,6.6589439146560805,5.966314558761144,2.9743058687246364,5.050985463704651,5.675441991457666,5.23871246596059,6.920496789692653,4.226183672311668,2.5996462104794915,5.837430533686536,4.739249847956017,7.472224689649834,10.244295178982087,6.424364181623813,5.88370262849631,5.07994277794279,6.857039154442132,4.876693015141241
YHR030C,6.778902855533559,5.5684325548959634,6.7626850690512015,4.114051903781694,5.066761845300281,4.9257141545180945,4.658209085287088,6.098040863618972,5.279517712217602,6.5314136766005015,6.201566189028284,4.434200557563679,7.896203256058023,4.946869557342634,7.580859052744267,7.4877343688934115,6.323459784010616,8.727536323289215,3.3360223499529926,4.879708840737203,6.4557993493826284,4.3148186943331845,7.567274806670742,5.942296545678365,4.733679361985248,4.018565705974949,6.407287522954566,4.0313634906096265,7.402103011811071,5.4598758202257525,4.453568611093368,5.851808410269348,5.239322246474803,6.69953763088504,10.431982105827462,6.468654016477072,5.831272146535228,5.032926689377833,5.9945656834253525,5.066997611612212
YHR079C,6.449465191980456,5.595087985007142,6.7647204338104245,4.380731396238986,5.351883050459118,4.8845802626311015,4.71073769347197,6.180356917807457,5.889111330669267,6.267997499319779,5.894675634371555,4.1299650839550015,8.029172205993376,4.588792205921386,7.605591345357745,7.270357495704322,6.343267484298765,8.212145606920002,4.6729474334233405,4.627910348759726,6.376695985963941,4.31487442358443,6.553852048578338,6.126982470049449,4.0023849422321565,4.988043236200112,6.034991430751486,4.958960590308874,7.5359856801810015,5.1289140389538685,4.001813878255393,5.610416662527788,5.242328994277983,7.539202419480581,10.311251979554797,6.171590381343403,5.687277863158518,4.862722754455394,6.901671263241629,4.957620089165613
YHR082C,6.300687705722088,5.940851575951951,5.9505513426811465,4.189687559423668,5.5295839776226465,4.684807872936618,4.2600535890003774,6.234133817147487,6.1991729712890615,6.337773645971183,6.112549115411954,4.3141227797334505,7.727580172834332,5.290665208128318,7.434250309241802,7.619454391351129,6.632686718405331,8.650474362270524,4.967809067683717,4.698893690202596,6.352037608680174,3.959944530369568,7.028207793967619,5.936461849175885,3.136669314888279,5.047290481729921,6.2030119836646325,5.077033485539183,7.055340751105285,4.705190867497112,2.9919496065945643,5.6385742133872645,4.555655994805202,7.413208044677456,10.224237199245279,6.258478726663937,5.381473102959174,4.7765908480295005,6.965518101078743,4.304755722592275
