,YBR035C,YBR249C,YDL014W,YDR063W,YDR064W,YDR353W,YDR382W,YDR408C,YDR427W,YDR533C,YEL021W,YER012W,YER081W,YER091C,YGR175C,YIL022W,YIL125W,YIL155C,YJL001W,YJL012C,YJL066C,YJL217W,YJR109C,YKL067W,YLL050C,YLR044C,YLR180W,YLR438W,YMR120C,YMR297W,YNL112W,YNL134C,YNL209W,YNR021W,YOR007C,YOR184W,YOR198C,YOR259C,YOR374W,YPL262W
YDR490C,4.326314983444662,7.397240255337143,6.765849502294487,5.312382953000713,8.682977940437256,7.3633369060346245,8.717846210873736,4.51247239448186,5.071321525329238,6.447241198574539,5.585229634950129,6.326287430912452,6.760598536054442,9.666387433332538,6.189120620967418,5.303994201521169,6.1239272959349575,4.823169069239879,6.49295338315261,4.851851568107199,4.445162797161025,5.624530843677723,7.147347806751545,7.732707810759897,8.281721175687808,9.923482929342347,7.9273872212345795,3.827028747522216,7.945222434913925,5.597970864995922,5.7091387120854815,6.1773153043271,8.185244740717069,4.384111706035172,6.334648656321558,7.313648877436986,7.078476318951619,5.235794904930447,6.916588920522982,7.031515241367639
YDR523C,4.537462343272493,7.816576440080179,6.751954861499544,5.074792145692547,8.289776800075753,7.301284984563601,8.770316943315423,4.572125715931894,4.872633327558899,6.190988506612303,5.2956125223780806,6.0931244610259565,7.465738122174419,9.320434576961997,6.4688410963067815,5.545259663154361,5.8526127562223875,4.9065924601208435,6.746910986703286,5.136581269603509,4.527172535442774,6.422746777222465,7.42072560748265,7.5364040542181865,8.347166786972899,9.856029890851312,7.918776896068254,4.3761777119721685,8.016506188436715,5.540151221455363,5.589100573904072,6.00021538842948,8.268344815349367,4.588081023702234,6.255867271209742,7.268196346078813,7.045395432988701,5.5470164133166895,6.71136295588733,7.111784884319272
YER129W,4.221701903867206,7.5394736424953654,5.550602993410367,5.477054359027402,9.168543128873203,6.778890596635747,8.432625361146172,2.9860366178677635,4.787920207816772,6.168579033132395,5.046881262889073,5.859188794607043,6.540029983803043,9.992223087529556,5.634676922168531,5.1916021739551725,5.5323901530615816,4.260069052004482,6.3131066131449005,5.1116714033343085,4.428390654786165,5.28645883348328,6.749364510639698,7.522208804450289,8.017433836745237,10.124267819412816,7.815551146676206,3.4258103644444065,7.569262612223348,5.862912358966717,5.071427751330617,5.292689203723878,8.473933079201911,5.172907826012309,6.807483832913105,7.558533798387392,6.772258291136112,4.766313648837845,6.842128083335418,7.026139079459068
YFL033C,4.094648713359714,7.535546554882621,6.443229793838612,5.276814071203893,8.424521654523753,7.133692600054754,8.44890327151932,3.819599253968724,4.786775093777488,5.810486981697407,5.077067951871105,5.916660195042058,7.051765946961473,9.805014950353224,5.6593650897265375,5.570937793331812,6.231075120069586,4.984312630679344,7.252672152253555,5.412536279207228,4.177336850937581,5.4620385044620505,7.145192353686959,7.4941568490000225,8.176427238784122,10.264823777017943,7.916550123706813,3.4019937589805225,8.284924505219028,5.444951139713692,5.501540695718738,5.299576431259308,8.372500917660034,4.319384501823134,6.266829549462982,7.179126719727737,6.7837349215655385,5.052349872675814,6.625086279408031,6.689162488351336
YFR014C,4.035818047588184,7.910285963587342,6.675745194787245,4.976768557301613,8.585681719061531,7.088795829549112,8.506050362134543,4.1987040873442005,4.128845470964001,6.027458176000133,5.491089829034902,6.1057466160479965,6.725151990090456,9.752894428792883,5.59738643214675,4.9893892471454295,5.478156357599915,3.8914153972181333,6.643736083722388,5.375091444412719,3.9643133806115287,5.469831357353289,7.091521444282964,7.09060948450484,8.441872151018856,10.478797742036237,7.877760420600274,4.323049056123342,7.945628361319658,5.6937655624535894,5.513831677776109,5.553621523735544,8.207064516300296,4.808605567037404,6.775225339495447,7.461232062842416,6.979857128937267,4.043607737337164,6.674059565209659,7.027277650249832
YGL021W,4.193466973663162,7.744817324604275,6.598855789421834,5.411912842784034,8.766523140552412,7.2197590232229745,8.270881900990709,4.431951066817233,4.766177248607201,6.19662034784929,5.5137089708132905,6.082343820908428,6.764047628358398,9.585232677967888,5.02225920399474,5.107479623737162,5.462525238097816,4.394273973227073,6.6315461195932786,4.788618121748361,4.41441843954944,5.4796585138379585,6.890875170074988,7.454510048283867,8.436662232343847,10.063425998097486,7.847918850502241,4.4257793625549535,7.639166470103313,5.919996764087014,5.4717355088518485,5.909561786459649,7.94634670074427,4.509930624691121,6.839075032881067,7.430261589816671,6.913277201462262,4.676087308073767,7.288041009360839,7.0774952918357075
YGL083W,3.894061317388645,7.880485182739446,6.779795184955474,5.050716590349392,8.641060498563155,7.0496375144047105,8.392203538809131,4.1464835655576735,4.428661156007707,5.828110760143025,5.467402643891409,6.001326594227746,6.6431782384869065,9.849807963082586,5.598337748143831,5.133949832725404,5.359939790133849,3.736907285262237,6.497188883391076,5.330440470006233,3.7798146689539376,5.608772093386576,7.100298641110495,7.139428220614409,8.24276495371214,10.265256828504924,7.890882086427183,3.7087945791188615,8.041514942328787,5.505496492766897,5.554536264672811,5.6421851663647855,8.255323433634127,3.552314572450686,6.8170106275195845,7.498926912311803,6.9181234487680765,4.594286324728262,6.573210425027164,6.944612866209764
YGL119W,3.9087860995440447,7.678541325554807,6.655805466549072,5.292995481080374,8.811307757571578,7.2162496829042935,8.184803697495465,4.146198276972889,4.837650567438659,6.09061616912655,5.209130269924283,6.050232137900068,6.9733594943517385,9.76847926276294,5.305428157002672,5.44865289857829,5.530872300611364,4.768494918951928,6.433134486194949,5.377912940203209,4.6038415486480035,5.551517951081222,7.029639343207549,7.507491519177138,8.21018702100061,10.261334478180931,7.96573023761573,3.568563765272481,8.14193329534557,5.596207064507543,5.445998799051209,5.329068539739461,8.3607679977155,4.3268558052189405,6.599309556376048,7.397156946108542,6.79912466577725,5.146102469428717,6.985298640094787,6.838319448076111
YGL158W,4.153522794050321,7.3862855536948775,6.041744791665666,5.214266990333564,8.704334964057182,7.0136408813747275,8.663283196464478,3.949554025347172,5.142922372340965,5.613925187234075,4.9614374476208445,6.18121978340286,7.405356278907919,9.985059666759843,6.146413844538103,5.1584142286500745,6.0780603151926735,4.321615035535953,6.101613148379703,5.669349340677545,4.14784419149841,6.1007991788450076,7.197114714713619,7.340184707564138,7.435243622722694,10.031120435514124,8.03222621230503,3.092945704638967,8.488591472633637,5.141723145188376,5.608139696805901,5.052772979210982,8.41978919628852,5.069284288740816,6.748475421456723,7.389308413090467,6.634782826266687,4.545344713235371,6.04087124930378,6.966128363523994
YGL179C,3.9850326408652688,7.597169370275421,6.691901561877621,5.231472482305068,8.913085914330496,7.2596642164078835,8.290075184693919,3.4706551227935303,4.581197742218304,6.3510111251692685,5.268030552171628,5.96294472594538,6.974728415459563,9.806213007664015,5.305826137909358,5.6399818176518615,5.890813102819921,4.807657524345825,6.3929118046033935,4.9331480067445455,4.306556306722529,5.531923085334963,7.193655156511978,7.391458440441643,8.202596856870146,10.1861461478288,8.050161587622748,3.9261921737883583,8.169012621288482,5.394744630825452,5.555376986741616,5.345185882117452,8.403730150877639,4.487148369682616,6.6674582753729865,7.35375892665056,6.935666840235215,5.15178246432671,6.699944245252787,6.807176563235612
YGL180W,3.6993101714065295,7.442298924736365,6.600646627857124,5.080111536293309,8.591850027064407,7.334719455465662,8.622632419088035,3.8821683368940105,4.869672570300542,5.919095026204253,5.363439617282538,6.030942679743568,6.629614842745287,9.72747402793878,5.107312342637681,5.347197769912674,6.0570160812493965,4.447491946842875,6.451805012002519,4.743448120427717,3.8329145865414826,5.797426339016028,6.903313561025622,7.525977152664543,8.46035133692273,10.285454474842279,7.972181235871574,4.0773232018615975,8.036527941575008,5.338029199326497,5.583753275240586,5.808652774347829,8.466864789384655,5.274408789246509,6.2983457904226325,7.463183308317553,6.731501342175203,5.092200103416274,6.934117958470262,6.865249824112755
YGR040W,4.074350447320207,7.7851782574616335,6.773880491810679,4.782757683194565,8.754551752404781,7.017650380887577,8.747870481608237,3.6336257847619433,4.479150556627432,6.172325054907796,5.33752432128392,5.908544995542928,6.8980674782916305,9.538804522387922,5.502089458665897,5.858979251285637,6.040280877427479,5.267247660851844,6.448985294893485,5.048621567105809,4.198387975515932,5.438105137965958,7.142442520338942,7.354523166914665,8.140658839658634,10.364501638264835,8.18060447403122,4.073741325355321,8.20599931354678,5.606919590508465,5.604695708330394,5.876718359204973,8.366873392152874,3.9500251445402794,6.067884636689152,7.076308384119983,6.517259900392539,5.087840793976274,6.880654499523923,6.999643643014696
YGR052W,3.183503489448358,7.5222491329576275,6.7146166880108895,5.301493058147911,9.057676715195813,7.692304696698075,8.82048254397264,5.106141710848728,4.660174401882263,5.762261992818615,5.3462948234143886,6.169487531385214,6.9640362886401626,9.99618618136939,5.877356364864219,5.714271061637553,5.8888374294730585,4.30387623907579,7.045651128041438,5.399690156713663,4.237403968449311,6.1683266850401655,6.658578215079638,7.465813498094847,8.45145807689631,10.297609993328694,7.983487804281354,4.307178702416811,8.235601855095013,5.046664891359477,5.2115699690232935,5.8531049688603805,8.447705118594909,5.237882989194132,6.521691135704751,7.30468822140269,6.5435590541801485,5.2450691664308415,5.983455525682408,6.994570416681576
YGR092W,3.8691984258649628,7.5802454515833615,6.7485240129846495,5.149861218015478,8.647861479026332,7.368229494121393,8.461567001490787,3.140644396956445,4.896406591405979,6.265455582809405,5.47284612478034,5.994326910229932,6.84654725261022,9.79035338689543,4.948129404482688,5.561516208687118,6.123628387826513,4.923428062454738,6.440558277725476,5.589374211293002,4.441662626282168,5.167468662819956,7.1994708283273186,7.575588208387227,8.491378389796497,10.146778025765473,7.905988973126366,3.777221682060667,8.262016764094309,5.652788328707057,5.771107713245307,5.731351319187211,8.369765825777153,4.835913759231605,6.562621210527563,7.29944453251728,6.785392469713606,4.860320789914675,6.883239528762593,6.8767436656384335
YGR188C,4.259832678924568,7.769054131272434,6.9092876427337835,4.934331908974633,8.660879252188122,7.129270109448919,8.649455207805932,4.460572018480479,5.100157980026523,6.299959463744242,6.195460701665374,6.274060094185902,7.001267027669736,9.424394032055986,5.2854638031642365,5.30764068061778,5.995243358114963,4.887247114428292,6.680913130516522,4.987506610242656,4.119936966949717,5.424389577088935,7.277486236808636,7.562706291270372,8.256548032349828,9.966362019143961,8.239270037626245,4.112771638337647,7.8990542685846945,5.5875352160129115,5.953593812095938,6.098132782354324,8.227989706096782,4.570758151159798,6.270408212481028,7.269718879621217,6.765283314470498,4.951499480705111,7.064567072327791,6.823221060814272
YHL007C,4.2071967501255685,7.718592694853585,6.836096183173376,5.253012225944,8.516347286307514,7.296154443747537,8.994249318935,4.562397792343317,5.161125623733379,6.058295551900313,5.488811816400447,5.910828822900762,7.1616627828483965,9.90177173613894,5.428822169144274,5.3934199792639586,5.862447190753835,4.582670369656585,6.275952489333244,3.151005598959314,3.7042612017547705,5.584580288440083,7.56722484383348,7.666583111958152,8.27152729502543,9.745817904035864,8.216375909497586,2.9743058687246364,8.419492966847349,5.261714346286488,6.2172725435415925,6.247915625285941,8.560834295731636,4.251099875011397,6.222990463846571,7.682543172446063,6.857039154442132,5.0438920863699455,6.720483562419468,6.83404889252358
YHR030C,4.368958303957315,7.975025994553273,6.930816323495817,4.9257141545180945,8.371002257056386,7.606606126527188,8.569289601003586,4.194657430319415,4.181406680374306,5.985979124230474,5.196623133234196,6.098040863618972,7.227597691614132,9.556547174533826,6.516039160002878,5.4844944643419264,5.808052986135781,4.879708840737203,6.4557993493826284,5.204749541887958,4.3148186943331845,6.5915765314718175,7.568628930736942,7.562780296876955,8.341198800548902,10.354603813570249,7.779565415958889,4.733679361985248,8.06044914515183,5.721568373976022,5.588884029009166,6.3757614361865125,8.396127268105264,2.8384954687400383,5.964467406128099,7.499169636199214,5.9945656834253525,5.2560758335042586,6.968982241833342,7.050958216215106
YHR079C,4.0174550542770895,7.567132061114662,6.9583197332732425,4.8845802626311015,8.379650593555903,7.5857961977936466,8.51051698688851,4.409594952550015,4.63629639422383,6.5610662223465885,5.63593644486855,6.180356917807457,7.352046515149403,9.785890399483147,5.981312992737003,5.439968477154732,6.135470728337253,4.627910348759726,6.376695985963941,5.050165921336761,4.31487442358443,5.708718447104199,7.507948763576167,7.471002080835552,8.005828967145678,10.065778159725673,8.020525480522442,4.0023849422321565,8.156399887959811,5.1862897280327465,5.692774542635758,6.288849221988253,8.220821637673088,3.376367435523945,6.325495172564176,7.288320767468232,6.901671263241629,5.0518621640323484,6.4855586744639515,7.0922262951510575
YHR082C,4.350242767460519,7.624036325009277,7.1685224632052735,4.684807872936618,8.581829207552941,7.366133597868347,8.891436215952877,4.604596488697267,5.220973538339667,6.2529922811954695,5.379616459317097,6.234133817147487,7.22144254213219,9.770196188399405,5.615691026181308,5.600669055335896,6.097494008416443,4.698893690202596,6.352037608680174,4.391540414969628,3.959944530369568,6.095461453524817,7.859672008324982,7.581475201620009,8.184681550861491,9.91557474550013,8.176017567090561,3.136669314888279,8.354587762483831,5.482005237311816,6.03340604075593,6.236778966084198,8.363473277451023,4.222698577941552,6.0259522654974855,7.627173198184693,6.965518101078743,5.375504787868394,6.398661597471903,6.907430276466073
