,YAL007C,YBL039C,YBR011C,YBR072W,YBR084W,YCL037C,YDL100C,YDR019C,YDR032C,YDR064W,YDR155C,YDR158W,YDR321W,YDR533C,YFR030W,YGL026C,YGL031C,YGL157W,YHR174W,YIL022W,YIL155C,YJL066C,YJL130C,YJR070C,YKL112W,YLR292C,YLR355C,YLR438W,YML008C,YMR120C,YMR229C,YMR297W,YMR315W,YNL287W,YOR099W,YOR120W,YOR198C,YPL226W,YPL262W,YPR118W
YDR490C,5.047249707763628,5.4259890733094185,8.674847059948059,8.686122102877311,5.450273437014581,5.292304292212506,5.5827206035014125,7.059550241338223,6.668225738605048,8.682977940437256,7.8230562693484496,7.898525169261783,6.0144874540144455,6.447241198574539,6.1949115850596215,6.303289232150731,6.500576355151832,6.343894877355285,10.299564387463997,5.303994201521169,4.823169069239879,4.445162797161025,7.293761733411513,5.195121931077964,3.7384958831999215,4.530681687699675,9.213467596646444,3.827028747522216,7.061775845063512,7.945222434913925,4.719983883450759,5.597970864995922,4.955315601586227,6.0213104050780535,5.562796924391936,5.270777989350572,7.078476318951619,5.818591693391247,7.031515241367639,4.668918365148674
YDR523C,4.793364354245957,5.375449400353178,8.649667378547328,8.238926699052808,4.893858432570352,5.445604220561253,5.5436755847197485,7.058421435262058,6.696087051872599,8.289776800075753,7.716819932689407,7.93578442482876,6.00932814695076,6.190988506612303,6.299443738903188,6.885009752386316,6.428801685001951,5.558858265410676,10.317398034031957,5.545259663154361,4.9065924601208435,4.527172535442774,7.611354746824577,5.451394442579619,2.1156284672552146,4.660410992303905,9.129795237941998,4.3761777119721685,7.1332587276230885,8.016506188436715,4.5802796927383485,5.540151221455363,5.0404981128500825,5.823729012065224,5.5179272075571575,5.214013575702152,7.045395432988701,5.760918873030223,7.111784884319272,4.94825618115125
YER129W,4.845224523213139,5.372611321888554,9.07225462925182,7.490968787519447,4.995609962094336,5.569605296638841,5.895977627261863,7.184810379313647,6.932276924769164,9.168543128873203,8.275864862451392,8.131310202267215,6.254897078368306,6.168579033132395,5.403027456727651,6.255127593393676,6.975899807730472,6.143666492778285,10.802982648636348,5.1916021739551725,4.260069052004482,4.428390654786165,6.685024091475118,5.837324815237332,3.605032498460015,5.395619137701862,9.747102106163164,3.4258103644444065,6.540048980610665,7.569262612223348,4.132233517952505,5.862912358966717,3.9599862764193143,5.4830634038895525,5.6247990567722095,5.016333763456004,6.772258291136112,5.813920462133037,7.026139079459068,4.7266440528706894
YFL033C,4.593120526543525,5.734258249531188,8.773402981115304,7.253071431133157,5.445808479806825,5.095118204993491,5.674202982846142,7.2723891614208656,6.383076754740558,8.424521654523753,7.784300326554513,8.242368368125994,5.796977872941732,5.810486981697407,6.533472276803704,6.850636731036782,6.7628338400078345,5.948339370568112,10.669104541403305,5.570937793331812,4.984312630679344,4.177336850937581,8.010871724856486,5.422648590044738,3.64074490468589,5.121863196304763,9.218025068954056,3.4019937589805225,6.6538809661258265,8.284924505219028,4.483193350085024,5.444951139713692,4.606078563868622,5.754771998192086,5.6902421563769625,5.103096904532992,6.7837349215655385,6.173575026146616,6.689162488351336,4.987529382952345
YFR014C,4.721665980384205,5.117596537557587,8.893813812651691,7.545518403225524,5.261191772121894,5.8763925102835834,5.873886354866568,7.147303373806608,6.860597590984333,8.585681719061531,8.007306047235833,8.307719970512897,6.399330304889783,6.027458176000133,5.955262429416206,6.394355834665929,6.8986107683291245,5.777042683571737,10.35656603290253,4.9893892471454295,3.8914153972181333,3.9643133806115287,6.606926325530024,5.682721818722086,2.832379237484456,4.786534023742858,9.34819488569264,4.323049056123342,6.769617877053598,7.945628361319658,3.9942243973660374,5.6937655624535894,4.332441077547403,5.345745781132055,5.2201142071477635,4.981602461189988,6.979857128937267,5.602530433057538,7.027277650249832,4.241377966014123
YGL021W,4.7689417721062375,4.878385800056131,8.955221421354224,8.24758387121803,5.284743799620895,5.939409800956337,5.656735891219092,7.126046089305491,7.2907735771254805,8.766523140552412,7.9013893040996965,8.073829901982693,6.211046297646843,6.19662034784929,5.442086418403217,6.072776758456997,7.114273739603484,5.7280370272699646,10.395338299357617,5.107479623737162,4.394273973227073,4.41441843954944,6.1138135866724275,5.663914636340038,3.648184235256181,4.8748577359324266,9.399925011593131,4.4257793625549535,6.697842369839868,7.639166470103313,3.767142505617938,5.919996764087014,4.1912260859107775,5.566585867142097,5.339756149876905,4.888363371484118,6.913277201462262,5.3633338314525325,7.0774952918357075,4.141210256336231
YGL083W,4.878379577272564,5.11617675973755,8.896120516943503,7.541946311208004,5.380098265538408,5.745150354282647,5.747841769937657,7.804383671204183,6.521869551330391,8.641060498563155,7.9840678349734215,8.179462106045282,6.362485884135425,5.828110760143025,5.781205243091677,6.399540575530763,6.9748657933228175,5.844417686903625,10.569951571205813,5.133949832725404,3.736907285262237,3.7798146689539376,6.416425751154827,5.807255892540157,3.0286956504493987,5.0708897591837685,9.293759292582008,3.7087945791188615,6.834750567148267,8.041514942328787,3.7744062243906975,5.505496492766897,4.0498160172324535,5.145816454162384,5.199351717213877,5.124199650850753,6.9181234487680765,5.556634867253493,6.944612866209764,3.804769178619512
YGL119W,4.878800584604639,5.380855501723733,8.838480335545512,7.595616583254657,5.256731984417387,5.057078647556383,5.768923591076571,7.132253271783558,6.615447834938495,8.811307757571578,8.160618829543685,8.200983058945708,6.1076071881906415,6.09061616912655,5.947272834126276,6.3837196001972485,6.719423166776612,6.201514321688062,10.66293489971825,5.44865289857829,4.768494918951928,4.6038415486480035,6.742575763433164,5.561218348067012,3.7476860660566857,5.121050926458428,9.292928314064776,3.568563765272481,6.6556827307525275,8.14193329534557,4.368269795578545,5.596207064507543,4.847490059884483,5.998011528178709,5.5754628871337015,5.292238686113944,6.79912466577725,5.765752366434383,6.838319448076111,4.944226361829383
YGL158W,4.898674289173547,5.830299350436713,8.912243663931037,7.405586204005318,5.42365506361376,4.5862345244100435,5.187044046977404,7.313895483075285,6.342149195409293,8.704334964057182,7.570343209944079,8.212468757889239,5.90415835743819,5.613925187234075,6.6671197566219345,6.8541086467519365,6.428174347228774,5.975978639324584,10.161767916031556,5.1584142286500745,4.321615035535953,4.14784419149841,7.772663107533455,5.815749950930753,3.6596824513349104,4.970084008285725,9.259742640170169,3.092945704638967,6.689123089053749,8.488591472633637,4.945644775564066,5.141723145188376,3.9522851431128285,5.830695684453268,5.607359978379898,5.182160902583042,6.634782826266687,6.070441578168175,6.966128363523994,5.097418352776028
YGL179C,4.800090363340153,5.605521169635075,8.749042422378254,7.98177597335204,5.510895946512255,5.250297579952159,5.684601185732228,7.354131358870009,6.380379501621741,8.913085914330496,8.165858009771206,8.08313269254982,6.044905333214395,6.3510111251692685,6.291251101029498,6.479032875456397,6.4796297993678404,6.184535905515274,10.558480005362684,5.6399818176518615,4.807657524345825,4.306556306722529,7.338840162977324,5.677898735796274,3.827086269665722,5.0312429806373755,9.22546073855498,3.9261921737883583,6.619824010826245,8.169012621288482,4.721383591752813,5.394744630825452,4.834879334506085,5.839828125592603,5.5708228388141725,5.11670068031801,6.935666840235215,5.99565431436584,6.807176563235612,4.924445860506523
YGL180W,4.829938977436292,5.225686802120949,8.759792732343957,8.336831135953435,5.1369688208492805,5.35961741552153,6.061142938563912,7.615266629595053,6.480065741122552,8.591850027064407,8.209717339506106,8.175613690092462,5.980206482030718,5.919095026204253,5.952556854844247,6.335355484345435,6.529756116528166,5.655914880027363,10.525692710747574,5.347197769912674,4.447491946842875,3.8329145865414826,7.160620251130832,5.581465570997267,3.1304175912068426,4.255716794374757,9.112193196848784,4.0773232018615975,6.5527785881882155,8.036527941575008,4.533480328024376,5.338029199326497,5.015245559818536,5.628200344348223,5.571431584710366,5.034855211625053,6.731501342175203,5.787685249274029,6.865249824112755,3.997345026202544
YGR040W,4.8762713104191215,5.7372402651674905,8.445626583582841,8.168730315446577,5.6676446036851145,5.6695448733586264,5.1662090498973425,6.973403771345388,6.554647840921666,8.754551752404781,7.627234482172883,8.178366071034766,6.014760084959619,6.172325054907796,6.311202036619522,6.944912881533848,6.971942181540233,5.658341634939281,10.032940069540366,5.858979251285637,5.267247660851844,4.198387975515932,7.676401402662577,5.432083941967151,2.4556567804078338,4.77438622525,9.3104243653067,4.073741325355321,6.743652305913846,8.20599931354678,4.63116633752632,5.606919590508465,5.238072926751387,5.5089192519728085,5.829204914447974,5.343888884505794,6.517259900392539,6.01080055183798,6.999643643014696,4.6479770288332505
YGR052W,4.940326088432372,5.500301617392074,8.677888638640573,7.739478558225674,5.20724377241365,5.662479185888624,6.473361190908133,7.488471874479942,6.484355546799183,9.057676715195813,8.189793175254087,8.081317839674805,6.1634599244968475,5.762261992818615,5.8714324599974415,6.371126593997662,6.747401377753817,5.872397315157667,11.00341388965363,5.714271061637553,4.30387623907579,4.237403968449311,6.645835218442713,5.722203071040398,3.840449267641371,5.400153559681781,9.296234441043234,4.307178702416811,6.771025799053636,8.235601855095013,4.312217016816153,5.046664891359477,4.216518614860518,5.629597402846619,5.240949584310526,5.278033377720184,6.5435590541801485,5.144313492533676,6.994570416681576,4.945229581682685
YGR092W,4.948334512056388,5.81208379901867,8.715962688263309,8.316746374686366,5.706570490236894,5.182383322830289,5.731543612183706,7.009594266046273,6.7960670590736925,8.647861479026332,7.910254098895487,8.024289735337806,5.748383067852311,6.265455582809405,6.39726892165074,6.526374859856892,6.687238482482151,5.983834321254448,10.77752309719886,5.561516208687118,4.923428062454738,4.441662626282168,7.7862350242982314,5.478688655465486,3.649778016464725,4.592607120634323,9.475360789924816,3.777221682060667,6.470437379619581,8.262016764094309,4.929131809940584,5.652788328707057,4.2722804680485424,5.886490083826111,5.455685874642067,4.999498915791524,6.785392469713606,6.355243548367668,6.8767436656384335,4.614501119934378
YGR188C,4.854474485503124,5.674322011845255,8.712204279758021,7.999851183882973,5.6172481640289496,5.9726677940402855,5.568368325705415,6.985141946650917,6.883437760544845,8.660879252188122,7.779349624043664,7.723679225173223,5.907100464103565,6.299959463744242,5.775047566034304,6.65816785008628,6.96250432883039,5.894916394965612,10.501217823750581,5.30764068061778,4.887247114428292,4.119936966949717,7.383729022403742,5.750441218108585,3.4322962335084126,4.5611299743393605,9.378644424789783,4.112771638337647,6.7864599691703615,7.8990542685846945,4.684331418759876,5.5875352160129115,4.448737834606224,5.8017479387255575,5.409748559826458,5.180703753141753,6.765283314470498,6.043717080955541,6.823221060814272,4.572913584437464
YHL007C,5.291319800064652,5.875745133407798,8.567956987449882,7.084455502443683,5.835211320793,5.713882856389652,5.5949150321939145,7.069851016818959,6.5320936305845905,8.516347286307514,7.091456555023866,8.025616907168112,5.852084647177799,6.058295551900313,6.600706967048987,6.3683462873065935,6.548806533671616,5.596724731136245,10.437309315045557,5.3934199792639586,4.582670369656585,3.7042612017547705,7.817983605995296,5.4322869572983565,4.004882625167518,2.785854986240037,9.48039354644365,2.9743058687246364,6.757538697466455,8.419492966847349,5.23871246596059,5.261714346286488,4.546080131862322,5.837430533686536,5.745876704498827,5.121905236369812,6.857039154442132,6.269748344773619,6.83404889252358,4.950146026995746
YHR030C,4.9924600408826185,5.5684325548959634,8.591549121264693,8.336915061910435,5.318127258284672,5.275173677807089,5.066761845300281,6.960852873751639,6.768602536308738,8.371002257056386,7.787673160699682,8.108264247834514,6.087248676391635,5.985979124230474,6.162014194402188,6.721626369106192,6.699586160262317,5.575505815993232,10.750205523671804,5.4844944643419264,4.879708840737203,4.3148186943331845,7.1070099458209635,5.211336792384813,2.3290967036512606,5.159037526460403,9.365815055538905,4.733679361985248,7.278279868543072,8.06044914515183,4.0313634906096265,5.721568373976022,5.312706962568506,5.851808410269348,5.99228161912762,5.209450908952311,5.9945656834253525,5.487567090327312,7.050958216215106,5.042341022326585
YHR079C,4.850393449959652,5.595087985007142,8.65902184844139,8.550715055009004,5.664096071537921,5.27838109205744,5.351883050459118,6.9520505061844515,6.462555175741278,8.379650593555903,7.716343390916148,8.16250856916336,5.969915553231616,6.5610662223465885,6.612201268689718,6.9804298839351775,6.5625572097864815,5.9443701488145075,10.370505934903713,5.439968477154732,4.627910348759726,4.31487442358443,7.853580659787992,5.443876835323075,3.6757497348582566,4.583924619724546,9.018714548875684,4.0023849422321565,6.964484667391,8.156399887959811,4.958960590308874,5.1862897280327465,4.966689269345113,5.610416662527788,5.476970953584424,5.36809421149638,6.901671263241629,6.01602672698444,7.0922262951510575,4.6981225582803985
YHR082C,5.124617022536979,5.940851575951951,8.553594629376413,7.49876746117564,5.766809769669868,5.443442701805433,5.5295839776226465,6.782352119974179,6.2408037610930185,8.581829207552941,7.373425650196578,7.997009008421537,5.9682384843712315,6.2529922811954695,6.820645777807402,6.6950327992190255,6.251903587809851,5.808436519807055,10.635379990272114,5.600669055335896,4.698893690202596,3.959944530369568,8.219783016122216,5.0279192823139525,3.7212909666183096,3.304951943093931,9.318900509832512,3.136669314888279,6.726773419305049,8.354587762483831,5.077033485539183,5.482005237311816,5.176874091200825,5.6385742133872645,5.7173770570235325,5.472611916844338,6.965518101078743,6.153601118451824,6.907430276466073,4.820119285437147
