,YCL009C,YCL037C,YDL084W,YDL092W,YDL131W,YDL195W,YDR037W,YDR091C,YDR127W,YDR158W,YDR174W,YDR382W,YDR516C,YEL024W,YER031C,YFL039C,YGL031C,YGL253W,YGR185C,YHR029C,YHR128W,YIL124W,YJL008C,YJL080C,YJR025C,YJR065C,YKL182W,YKR071C,YLR262C-A,YLR303W,YLR355C,YLR380W,YMR186W,YMR300C,YMR318C,YNL112W,YNL243W,YNL312W,YOL012C,YPL028W
YDR490C,7.559293547105478,5.292304292212506,7.814887367418767,4.378605851424195,7.791746190358789,5.5548943833688025,7.4534361181441975,5.932416346659454,5.926609571591142,7.898525169261783,4.981405453338784,8.717846210873736,6.732710239859989,5.797545273034912,4.53444458094512,9.017864182830404,6.500576355151832,8.32683565134275,6.443962049278253,5.279434283074367,6.377665601393706,4.890436351438815,5.487455979626587,6.930342660481994,5.117374662536837,5.983253468534388,7.541970686533443,4.34077708517488,6.730308547315941,6.5312187031910565,9.213467596646444,5.059568002579352,7.1388690946797135,7.0237154819936665,6.622289985285497,5.7091387120854815,3.8912315270904934,5.318178531453781,6.765753623573393,7.606930629160353
YDR523C,7.73888803959033,5.445604220561253,7.697207195331847,5.455179028865689,7.912044122601446,5.4181479531036905,7.2065434322446436,7.018186820958867,6.166299561237852,7.93578442482876,4.703000241290574,8.770316943315423,6.686772854331628,3.972162552294417,4.14314383421469,8.602975176643225,6.428801685001951,8.488281461294656,6.097821256133959,5.7816746694954055,6.375089846582867,5.0973226451712215,5.498838408580103,7.872588072596682,5.194216514095291,6.230048045451047,7.441905620961361,3.25052492679692,6.367396635891214,6.658984114424504,9.129795237941998,5.077822733274476,7.156453151944434,7.020716764255389,6.541818161789792,5.589100573904072,4.101359161556863,5.078898004243794,7.080992908115313,7.895198042753937
YER129W,7.328224420424268,5.569605296638841,7.717951323056825,4.670586394882148,8.177750776085093,5.443229893475182,7.5728350264700435,5.872437606459815,5.4080215324335965,8.131310202267215,4.89555011785118,8.432625361146172,6.8208532101396475,5.569966184446187,4.721967241305672,9.236929138566543,6.975899807730472,8.796587228234667,5.708430727775237,4.965028401446944,6.21927559340117,4.70264808434233,5.579829092095438,7.706743503535062,5.568431259385136,6.142098469182649,7.106064586286959,4.122829601479447,6.3520430327326975,6.475857313141629,9.747102106163164,4.732799402356642,7.154715062043597,7.265257019251952,6.229927081002146,5.071427751330617,2.75994269246696,5.515178796205257,6.849507815981584,7.553980978238415
YFL033C,7.761976549088793,5.095118204993491,7.794170453478682,4.3477847399493665,7.970043071757014,5.672939015383749,7.276420612638367,6.095223701290294,6.234939688242169,8.242368368125994,4.703943664777488,8.44890327151932,7.226586676929928,5.5910669502334915,4.471681910883497,9.216107331130573,6.7628338400078345,8.438573672092438,6.478023970484345,5.190682829485553,6.341467472491457,4.851126369653891,5.599222421421162,7.602776560968571,5.162837096357942,5.968533433084322,7.91338870107204,4.076533966851976,6.539349385915798,6.544457596636231,9.218025068954056,5.127358195815692,7.149304453082838,7.188273522479394,6.286341239986157,5.501540695718738,4.047092657172764,5.0773675386696215,6.647383556161808,7.5259071286252155
YFR014C,7.5014753178160465,5.8763925102835834,7.8308181132365755,4.33876661951224,8.198665041945118,4.601328748985547,7.090610757021412,5.89791742916286,6.142427890991787,8.307719970512897,4.79559653183001,8.506050362134543,6.8420225232845855,5.161830662610504,4.277264714821437,8.928481573910439,6.8986107683291245,8.451968140828102,6.273636615614687,5.337901724246192,6.294159158685068,4.8329143978106766,5.602532850227688,7.629473990823826,4.956760686282242,6.2226517044882845,7.075939428229573,4.4077316742730375,6.444220439632592,6.810424317767605,9.34819488569264,4.245484060879886,7.437489893467361,7.299452174551141,6.689577825462132,5.513831677776109,2.696643138890036,5.270960735279359,6.933080887631136,8.057083829339321
YGL021W,7.405536978524866,5.939409800956337,7.840053432132581,4.434762159972442,8.109694474992496,5.173892813797927,7.340174001728425,5.97413387713791,6.420409231119724,8.073829901982693,4.815535311465854,8.270881900990709,6.947838101562616,5.547305889475365,4.632592568104282,9.095275975563029,7.114273739603484,8.350894850717808,6.434533905310188,4.951045827995573,6.331891966372661,5.209803627219964,5.506387200717003,7.638324131304919,5.237923148598861,6.12350892446584,6.964697082716162,4.259280557478228,6.653137933708821,6.556017887101356,9.399925011593131,4.299708556867291,7.400169759040886,7.0222456812782,6.628572668990342,5.4717355088518485,3.1620806966681463,5.062488636779363,6.940494788995365,7.809790243643483
YGL083W,7.454594226034819,5.745150354282647,7.72655741394037,4.325434466955855,8.239846370323162,4.94191045638788,7.422932710372168,5.842301873177549,5.966042957926597,8.179462106045282,4.7065859849118015,8.392203538809131,6.818045419015805,4.838105669267552,4.317492460551163,8.863084848719483,6.9748657933228175,8.532634933655839,6.348782058756896,5.53040216635925,6.3473532663602406,4.752881137361028,5.540691034160328,7.473529091144494,4.707107961922498,6.058876732756237,6.966859938017971,4.151730967375195,6.49219838900379,6.819672467996639,9.293759292582008,4.819395143380751,7.551550482585896,7.309280631665101,6.605785890977503,5.554536264672811,2.760548893261816,5.2335226091831775,6.599375052098504,8.04155709498118
YGL119W,7.568656183034091,5.057078647556383,7.904062675792713,4.641567007466242,8.151774242781073,5.487761162468711,7.462983853524344,5.785949880699475,6.346238421437214,8.200983058945708,4.941751175678399,8.184803697495465,7.034503213210344,5.027688011210006,4.584127077656606,9.266367184838849,6.719423166776612,8.467722123876968,6.5223438195803345,5.387638525245666,6.345563822961488,5.057967604069939,5.563052362485174,7.5822006809956495,5.439469603365956,6.2103490725340365,7.249836372624367,4.184610192043381,6.625153957540578,6.5416716656009495,9.292928314064776,5.417686820349002,7.043495498929375,7.1775487487247664,6.597564744799571,5.445998799051209,3.8744279194629936,5.147598852990873,6.694816497168104,7.5936548577690495
YGL158W,7.603952439419782,4.5862345244100435,7.526617175904702,4.417581792697334,8.216621014521104,5.713472984750086,7.633732399946965,6.5000003646517515,6.0361790927074255,8.212468757889239,4.9160995195517785,8.663283196464478,6.839039784987624,5.388297570723956,4.733828004874527,8.930833058381465,6.428174347228774,8.824670450019024,6.6265746914204415,5.4960590703264725,6.378497368505392,4.9729190725150065,5.894588698762485,8.048644579951395,5.1071272211516465,6.112723054890144,7.912568966009839,3.839074371605332,6.604810455280389,6.661237836636612,9.259742640170169,5.004662441071266,7.0740656603108,7.263896772524793,6.242606543260457,5.608139696805901,4.284834427506463,5.103041307114039,6.5715232440518125,7.776920574647407
YGL179C,7.635821522573183,5.250297579952159,7.818789007059059,4.658525665499842,8.074576031737662,5.460096285910557,7.419508899203718,6.081395353540838,6.2763764095507275,8.08313269254982,4.9038742527364265,8.290075184693919,7.088326051785329,5.393973352269549,4.513928296085771,9.106434102013019,6.4796297993678404,8.454966287105218,6.520549165967188,5.276872012100937,6.369925987443332,4.94621052617395,5.585170633943691,7.6121581954598705,4.821548320018375,5.894245045644678,7.560330795945367,3.9473152130719655,6.5911626516798725,6.612668911531599,9.22546073855498,5.272612363107892,7.0072036373070805,7.22486253498644,6.349003055030446,5.555376986741616,3.8677812441083614,5.155674304749553,6.823468598128402,7.665986033228831
YGL180W,7.6290859710125725,5.35961741552153,7.761533033197418,4.4522847689291325,8.17722356342888,5.042895265187211,7.1662218026892255,5.429895031814175,6.068858817002224,8.175613690092462,4.681693617741256,8.622632419088035,7.016083537295861,5.504120154870137,4.087997208443932,9.198211803477596,6.529756116528166,8.099526376072072,6.34429678944651,5.0175465609411445,6.15922422528138,4.15211508471212,5.4685271882112465,7.4837288053602595,5.392762784184906,6.3764846757697695,7.335533140129579,3.846372203219768,6.491038628818308,6.612448834339958,9.112193196848784,5.341783353104049,7.360747402829205,7.1847312866948405,6.348926696143763,5.583753275240586,3.3622168907680883,5.022612745393693,6.942102673622938,7.652903763674546
YGR040W,7.579153040354308,5.6695448733586264,7.774435034116707,5.145608687403541,7.8321669572445165,5.24995135753091,7.984964279074735,6.343700018223782,6.139877240525338,8.178366071034766,5.141618299852332,8.747870481608237,6.864521030907787,5.779418173301457,4.36439388549669,8.765336485952334,6.971942181540233,8.414834506688907,5.957290977886362,5.1737479562274,6.3774977426600135,5.207347678545361,5.861707628897357,7.948922572680804,4.685784218983446,6.027696733845648,7.574703650128693,4.19831031179133,6.5761456419025,7.121362333512077,9.3104243653067,4.6147369472807,7.303326908611162,6.995740708161741,6.393140871254713,5.604695708330394,3.599288378115601,5.217215103494535,7.044927743373119,7.738609038026526
YGR052W,7.6294368113018685,5.662479185888624,7.786127442295508,4.498743488934876,8.260036283197591,4.515689291967206,7.526635763562777,5.601804068238671,6.32767630266762,8.081317839674805,4.9979061191870136,8.82048254397264,7.49115667163497,4.2469973696968015,3.0657879152308545,9.458793030732695,6.747401377753817,7.709262232513415,6.393196195087625,5.727532294733829,6.069638711392275,4.392993113155904,5.560933804031593,7.308115882583804,4.790358172931684,6.271537002275768,6.931338983207063,3.7987565085922017,6.362132952708732,6.640852980254527,9.296234441043234,5.3217585029467145,7.23200284691885,7.4664987236388995,6.461153851242299,5.2115699690232935,2.3485906757001347,5.305097062041159,6.533041972161338,7.537182367036643
YGR092W,7.45051754858116,5.182383322830289,7.532028750739253,4.299396031672488,7.973290066993448,5.998886808476786,7.243320286918798,6.20597008282533,5.911745123682578,8.024289735337806,4.5358134589801065,8.461567001490787,6.936664125937173,5.885136039880407,4.649470030792472,8.831031023525654,6.687238482482151,8.5531181767104,6.393901889098617,5.280417657943406,6.673912196287503,5.3116778600349415,5.671336099490029,7.599195895226875,5.32203892729116,6.020072828254848,7.884027695316679,4.080784312968111,6.555155392717568,6.403285437594416,9.475360789924816,4.872592315106603,7.1564172749003605,7.0843822772136615,6.466656288649361,5.771107713245307,4.105651901560684,5.112762458458168,6.650706242439537,7.62330161055327
YGR188C,7.602918227561313,5.9726677940402855,7.8056155704436625,5.245268602433104,7.9205920623576835,5.505598041063863,7.284183873945519,6.100727761626369,5.654247068348824,7.723679225173223,4.998231928926953,8.649455207805932,6.7662944592704575,5.841753161998718,4.4096060428230475,8.606942967524473,6.96250432883039,8.457937110866697,6.20748701128846,5.489517278940903,6.6935831110721855,4.852755480143276,5.717556781170512,7.853008551261947,4.7755518175199345,6.090384668743972,7.583191539544753,4.285398602653124,6.15226171863646,7.353991609312628,9.378644424789783,4.407783199702727,7.436150617582966,6.936509668421048,6.627356704845518,5.953593812095938,3.312577902716457,5.006969972176448,6.653785405944165,7.88814008867384
YHL007C,7.844805879796171,5.713882856389652,7.692341324285199,4.3104875974356345,7.66215910262107,4.946274426972838,7.6005595559032635,6.037796062243077,5.9425043526486325,8.025616907168112,4.30423802699248,8.994249318935,6.5254526922116325,5.535620564192673,4.674602296207278,8.807533046622193,6.548806533671616,8.883993039334989,6.5854392005018125,5.3211456510925705,6.818716558226975,4.850298946132567,5.778883977289251,8.044345979246343,5.148492531151564,5.336007006488745,7.529741634841133,4.950131374481691,6.778824568791915,5.989300510907223,9.48039354644365,4.107373658520022,6.899152451511714,6.884620138371128,6.624738901761563,6.2172725435415925,4.070940808258129,4.739249847956017,6.647204315825018,7.466348919353599
YHR030C,8.070227547630529,5.275173677807089,7.680802310035042,5.019332336349068,8.254997934447942,4.912676989347523,7.218631901589715,6.73212826414227,6.171844764486427,8.108264247834514,4.658209085287088,8.569289601003586,6.764783857525329,3.8282648241361534,3.6147241364123466,9.065229478870313,6.699586160262317,8.438145965902091,6.2320517576552605,5.938492442424366,6.323459784010616,4.8783367795728285,5.818212589420602,7.713713646067543,5.347245041070838,6.2508550576102575,7.287742738535372,4.234487165424005,6.580769550176626,6.819876329442005,9.365815055538905,4.94869540242562,7.258349979520938,7.102491473165994,6.4944867289392185,5.588884029009166,2.9068339967602626,5.239322246474803,6.888807590476313,8.260107632504674
YHR079C,7.537110333881425,5.27838109205744,7.715479063082903,4.134352805480696,7.937784509954536,5.4078409093676765,7.208685603966348,6.204595354759997,5.807296035027862,8.16250856916336,4.71073769347197,8.51051698688851,6.850007574759476,5.1436617652419265,4.3718132614352,9.078088505081821,6.5625572097864815,8.184997647199165,6.206064355616966,5.33292309629591,6.343267484298765,4.827241877742198,5.4393322400983655,7.704011131148758,5.052137065575637,5.983784929867483,8.062870631684364,3.6917510975720464,6.4831179003662776,6.967779239361335,9.018714548875684,4.687214672436163,7.1550245723032475,7.040964573532247,6.6383812439952266,5.692774542635758,4.073585988357428,5.242328994277983,6.673751112758423,7.89666440718579
YHR082C,7.9435928640477265,5.443442701805433,7.787949723382492,4.075491332011875,7.727337271592344,5.093451853210674,7.496010801922282,6.167797758377645,6.294506070545625,7.997009008421537,4.2600535890003774,8.891436215952877,6.635526619438794,5.469157448114042,4.432611800274528,8.779914005726432,6.251903587809851,8.73357846846434,6.448011670197529,6.029749375710055,6.632686718405331,4.681127179760226,5.746801552278413,7.762913923508912,5.2334768766793145,5.462847583617402,7.792472225097463,4.422929348302379,6.651990097367878,6.3167249574249125,9.318900509832512,4.4190627989876985,7.024695556931719,6.881577806357305,6.2697706452063215,6.03340604075593,4.355011637477138,4.555655994805202,6.601322434204388,7.606651995202728
