,YBR126C,YCR005C,YDL055C,YDR002W,YDR304C,YDR382W,YDR427W,YDR533C,YEL071W,YFR010W,YGL255W,YGR175C,YGR205W,YHR174W,YIL133C,YJL012C,YKL013C,YKL145W,YKL181W,YLR133W,YLR216C,YLR292C,YLR351C,YML085C,YML092C,YMR031C,YMR131C,YMR215W,YMR307W,YNL209W,YNL216W,YNL255C,YNL312W,YOR204W,YOR259C,YOR362C,YPL262W,YPR024W,YPR036W,YPR069C
YER129W,7.3367421280318466,4.502570711494831,8.156140758874129,6.194286312138599,4.233095258087092,8.432625361146172,4.787920207816772,6.168579033132395,8.260349792448459,4.375802726980071,4.549739926150044,5.634676922168531,4.5350264649444565,10.802982648636348,8.029690303183777,5.1116714033343085,4.85979301163166,6.349762311170281,1.828046669759409,5.1986091842704525,5.2474238138582905,5.395619137701862,6.252651556395742,6.4802564867926415,5.4108705851333845,5.510139174048412,3.8592047920228376,4.889597773044934,7.406521068948983,8.473933079201911,4.958022432483093,3.3808445142497114,5.515178796205257,6.871119423655532,4.766313648837845,6.17204649723478,7.026139079459068,4.681634286775738,6.69752805502829,7.180075353041853
YFL033C,6.683583446726385,3.9718743123788927,8.547668442181344,6.463583836063994,5.5538335400556935,8.44890327151932,4.786775093777488,5.810486981697407,8.031854880377946,3.941944637115496,5.472943097203103,5.6593650897265375,4.62999705652307,10.669104541403305,7.630618126079079,5.412536279207228,4.690893340198912,6.594811697227706,3.3335997219117712,4.618828531866472,4.6654919300087805,5.121863196304763,6.075770282677972,6.672786272809794,5.415079912097486,5.4328335659661295,4.138974529406866,4.406213947433644,7.284630571128683,8.372500917660034,4.544177898492161,3.8600483246555615,5.0773675386696215,6.609150844887321,5.052349872675814,5.0034459096507415,6.689162488351336,4.7902090927148375,6.513669537177732,7.671198929743376
YFR014C,7.16868288073554,4.195820965456816,8.479617719776376,6.310636956893205,5.945990272384268,8.506050362134543,4.128845470964001,6.027458176000133,8.212930221689177,4.156250159033879,5.0838038685392215,5.59738643214675,4.132630843238768,10.35656603290253,7.674555620870353,5.375091444412719,4.805772329730517,6.2775582365442375,3.795218324820589,4.448130914757168,5.130263377142992,4.786534023742858,6.2222985287666885,6.6281776403664825,5.303094344150463,4.5789544101427975,4.309491624605525,4.563908297488736,7.276684248839548,8.207064516300296,4.439810139196876,3.1942888166352783,5.270960735279359,6.798426207902643,4.043607737337164,5.842187401464063,7.027277650249832,4.22976755289453,6.3432507366497015,7.393578291194264
YGL021W,7.608770013561957,4.231925587379459,8.320790150536531,6.631234519299959,6.420697800968442,8.270881900990709,4.766177248607201,6.19662034784929,7.919856458801802,4.223881086906316,4.814852542781268,5.02225920399474,4.7658918857648045,10.395338299357617,7.353118670937788,4.788618121748361,5.163922279445082,6.159828610895548,3.9340798663169294,5.0770779953812255,5.151563113785648,4.8748577359324266,6.101884560475584,7.188916360032752,5.522706745621231,5.086963846152381,4.330301021521354,4.860210266323851,7.361239194029466,7.94634670074427,4.697974877606877,3.54001565142633,5.062488636779363,6.336546783674853,4.676087308073767,5.9786277893997335,7.0774952918357075,4.319190122954741,6.47235833161296,7.580675485079587
YGL083W,6.8713328880052265,4.337715998691712,8.214160044387,6.4312089521032245,6.217847696859084,8.392203538809131,4.428661156007707,5.828110760143025,8.085997648743888,4.278220588337392,5.060464821698371,5.598337748143831,3.8211476646363263,10.569951571205813,7.19142946471037,5.330440470006233,4.990134317715818,6.283943136550831,3.723499444295088,4.621338319844531,5.126101393229753,5.0708897591837685,6.1713370588524805,6.86356185623277,5.370472994857078,4.591116993181913,3.75524499808402,4.367342953599319,7.11644940411135,8.255323433634127,4.409404814949643,3.398534412212053,5.2335226091831775,6.5468316805787135,4.594286324728262,5.391436575766744,6.944612866209764,4.376589426755141,6.461329774202271,7.6477948490789665
YGL119W,7.023637069359503,4.322629710316217,8.459034109324564,6.648975451417488,6.273214759074957,8.184803697495465,4.837650567438659,6.09061616912655,8.1513628807795,4.02130212988775,3.7379578522223835,5.305428157002672,4.962399117430564,10.66293489971825,7.49256813259212,5.377912940203209,5.087089368395799,6.170344159989659,3.627239687092716,4.223115460702998,4.740495834909782,5.121050926458428,6.175537864095981,6.997390915601977,5.529792470029829,5.560405050656882,4.207042611877776,4.571310966050195,7.033934682145517,8.3607679977155,4.631085493665727,3.7905524885823216,5.147598852990873,6.516914494367436,5.146102469428717,5.111637541212577,6.838319448076111,4.558779716206384,6.592809284855473,7.610326305766745
YGL158W,6.7512059067531345,4.2346883709497645,8.287878015651897,6.498929952867672,5.4039140267607655,8.663283196464478,5.142922372340965,5.613925187234075,8.185933233329882,4.3138122633599565,6.030489968874978,6.146413844538103,4.3756140646450765,10.161767916031556,7.8489573537498725,5.669349340677545,5.012504156440767,6.115088632913207,1.850061062265884,4.5619179721911625,4.880356680672404,4.970084008285725,6.111190950204867,6.287894996254362,4.630798337766091,5.121625003752573,4.060006214058691,4.346552764483678,7.0347388180261685,8.41978919628852,4.2145881063661,3.525026122881964,5.103041307114039,6.638321680009017,4.545344713235371,5.8637804717881075,6.966128363523994,5.026997617636502,6.792393425912317,7.349184476323841
YGL179C,6.693061700832952,4.202681003009367,8.373537787233705,6.68714673361959,6.42155915448666,8.290075184693919,4.581197742218304,6.3510111251692685,8.112668373758702,4.397897066478409,5.133493517903133,5.305826137909358,4.5721870415770915,10.558480005362684,7.549492465268233,4.9331480067445455,5.0396531198266485,5.938371959078461,3.669111459013752,4.065520034651128,4.6718920114194455,5.0312429806373755,6.0376898577301965,6.927216126290352,5.446397575708359,5.335362323511711,4.413223030545772,4.081898518436016,7.0981485791260175,8.403730150877639,4.467046996437843,3.781912163281042,5.155674304749553,6.539762472696222,5.15178246432671,5.085440900102961,6.807176563235612,4.780182788937196,6.454884743952791,7.4911753508020995
YGL180W,6.774090325339531,4.021370799699263,8.606702928202697,6.746895931592582,6.335725223611902,8.622632419088035,4.869672570300542,5.919095026204253,8.09913569390127,3.6859220532504304,4.655891777178296,5.107312342637681,4.658317916852972,10.525692710747574,7.128008877962802,4.743448120427717,5.167300902526407,6.194947651324076,3.2599805936807025,4.276145717474751,5.019997345977063,4.255716794374757,5.627317392821501,6.886577537744027,5.5403077275910615,5.2747332768635635,4.080403305927845,3.9350666036555566,7.355388139199903,8.466864789384655,4.200078668013813,4.039346741222815,5.022612745393693,6.3770305059071335,5.092200103416274,5.7666077503906426,6.865249824112755,4.7170916126159765,6.494247301150048,7.300546744250842
YGR040W,7.1504655111648185,4.382306092053439,8.6519522561911,6.1992347076098975,5.508886128711811,8.747870481608237,4.479150556627432,6.172325054907796,8.012462939596123,5.206330287280118,4.922213454060106,5.502089458665897,4.556306144558001,10.032940069540366,7.496633486176647,5.048621567105809,4.9173400680466655,6.21914834573493,3.637320382475982,4.409622938318218,4.660579043171858,4.77438622525,6.301390112918153,6.97632676901017,5.508112167342417,5.36255223545061,4.398102720360946,4.607595454185562,7.365501047098823,8.366873392152874,4.565689627081935,4.111386029687214,5.217215103494535,6.71675774620419,5.087840793976274,5.31787273439104,6.999643643014696,4.791100769990846,6.310442041673938,7.347892908925787
YGR052W,6.6765773610472845,5.196273552504475,8.470822874780769,7.1518740688988425,7.06840442120496,8.82048254397264,4.660174401882263,5.762261992818615,8.04131214172276,3.8589188889012496,5.219773825621519,5.877356364864219,4.571849359804245,11.00341388965363,6.862460352432254,5.399690156713663,5.707725780865602,6.487932646244893,4.508717079304322,3.7731320446000782,4.571371872448467,5.400153559681781,5.950223966525191,7.097871026621799,5.711312269280492,4.927346828288716,4.841036872248377,3.7440887563144982,6.975725433729508,8.447705118594909,4.753111648048122,4.308355539210133,5.305097062041159,5.297513651080355,5.2450691664308415,4.76647863610363,6.994570416681576,4.2002335229591665,6.4408177456003655,7.738370858014675
YGR092W,7.427270105086068,3.645591683594525,8.47445521859137,6.2969927786583755,6.162984018531003,8.461567001490787,4.896406591405979,6.265455582809405,7.8600539235954,3.923289250395048,4.679769666049892,4.948129404482688,4.583692994621839,10.77752309719886,7.830446102996495,5.589374211293002,5.2654747983240755,6.191731883541754,3.6288160154549223,4.950494344609637,5.021994540706778,4.592607120634323,5.98408305727388,6.86497620526746,5.521712663048883,5.3739630394207945,4.130672422836014,4.75099930620754,7.343962479814112,8.369765825777153,4.469167702126679,3.1253032737100552,5.112762458458168,6.700509455372143,4.860320789914675,5.591837556379155,6.8767436656384335,4.790759875114964,6.5652366113214295,7.58207816950383
YGR188C,7.244261034964877,4.712760772759707,8.452910955096183,6.350132271752861,6.294143880798585,8.649455207805932,5.100157980026523,6.299959463744242,8.019182984067793,3.1247435868161486,4.697093899982908,5.2854638031642365,4.753536896010336,10.501217823750581,7.612852778852267,4.987506610242656,5.281285503302162,6.463151433844316,3.269209716432339,4.862267925028674,5.082193012194193,4.5611299743393605,6.032698150035754,7.11515350259238,5.717620695544308,5.327095172662042,4.095920335521531,4.77926828459266,7.0465956663566125,8.227989706096782,4.440699076081594,3.545296378774893,5.006969972176448,6.605499970399518,4.951499480705111,6.016837935236615,6.823221060814272,4.123883805628736,6.374499581833423,7.8372576182822895
YHL007C,6.416054968882908,4.330403802320865,8.638904475729264,6.282065664006858,6.068684437816919,8.994249318935,5.161125623733379,6.058295551900313,8.753048001779609,3.4685283289243483,5.317227775346403,5.428822169144274,4.727174251729737,10.437309315045557,6.939438654666677,3.151005598959314,5.15256282801776,6.017584957268058,3.718610320658998,4.8806354036836606,4.775346857086246,2.785854986240037,5.643190306725487,6.918546412085698,5.772231236924004,5.0728291554100275,4.346155485218132,4.327565795513147,6.9248879722120975,8.560834295731636,2.5996462104794915,3.996376869916368,4.739249847956017,6.437062904113962,5.0438920863699455,5.750380285732503,6.83404889252358,4.606666620435076,6.533279115543483,7.631521577176013
YHR030C,6.7626850690512015,4.9407424824482735,8.74785194420012,6.551898810163259,6.3988160362326205,8.569289601003586,4.181406680374306,5.985979124230474,8.716617850503027,5.729425098055402,4.627811333507351,6.516039160002878,5.287847859166542,10.750205523671804,7.4692721338965375,5.204749541887958,4.468748883864344,6.1914647590835825,3.4090724769307794,4.30904660528529,4.935172181496123,5.159037526460403,6.286082897794842,7.213033253857878,5.78108074444784,5.224757763763269,4.448082040901988,4.1860406103083845,7.011022402679844,8.396127268105264,4.453568611093368,3.5845267873264133,5.239322246474803,6.8272388497908105,5.2560758335042586,5.622668634009906,7.050958216215106,4.350572958276404,6.485590180274402,7.3563282651609425
YHR079C,6.7647204338104245,3.905841317021033,8.496833084553538,6.636639525916044,6.449553614554504,8.51051698688851,4.63629639422383,6.5610662223465885,8.143086270192995,3.963811084353351,4.8984218928413865,5.981312992737003,4.212788697892431,10.370505934903713,6.989069396858162,5.050165921336761,5.063329093485372,5.877770617041644,3.754780348225084,4.0424023031395855,4.631995706593645,4.583924619724546,6.1070813918999445,6.950856115953427,5.516026056481284,4.913258632369455,4.469556916907174,3.7952392179442613,7.248798745049176,8.220821637673088,4.001813878255393,4.10392878149754,5.242328994277983,6.312431882544148,5.0518621640323484,5.057598695056994,7.0922262951510575,4.537769504534887,6.01141013114945,7.552142360721655
YHR082C,5.9505513426811465,3.836678844691472,8.611090875494126,6.520479335932128,6.600524566154702,8.891436215952877,5.220973538339667,6.2529922811954695,8.580154316998192,3.3386552609466915,5.563193472854394,5.615691026181308,4.5572457706148475,10.635379990272114,6.638439682675624,4.391540414969628,5.393276990709939,5.858149853908127,3.535534187631424,4.09680873982588,4.774762886734209,3.304951943093931,6.019056167790698,7.166212588870468,5.568958247260295,4.832474448307998,4.172857592105745,3.838481946228081,6.794121945407307,8.363473277451023,2.9919496065945643,3.8782168646782935,4.555655994805202,6.349899573080225,5.375504787868394,5.1029712020778435,6.907430276466073,4.300641701798716,6.494246164528482,7.708619885632326
