,YAL012W,YBR011C,YBR084W,YBR111C,YBR154C,YCR002C,YDL182W,YDR064W,YDR533C,YER012W,YER052C,YER089C,YFL018C,YGL048C,YGL062W,YGL255W,YGR061C,YGR086C,YGR204W,YGR240C,YGR254W,YHR027C,YHR042W,YJL001W,YJL172W,YJL217W,YJR109C,YKL067W,YKL112W,YLR061W,YLR314C,YLR359W,YML008C,YMR099C,YMR186W,YNR016C,YOL151W,YOR007C,YOR259C,YPL262W
YER129W,9.060670813831912,9.07225462925182,4.995609962094336,5.5136570819299076,3.3777851184973486,5.904665878659513,8.159245809386228,9.168543128873203,6.168579033132395,5.859188794607043,6.722819827572294,6.0051095411629865,6.305610907419944,5.5994200052341805,5.681398345650577,4.549739926150044,6.861802579881522,7.991334380011406,7.828847669184188,7.09929968905422,9.755761151816694,6.020434275992117,6.158908703388679,6.3131066131449005,9.137898902611516,5.28645883348328,6.749364510639698,7.522208804450289,3.605032498460015,6.45568626167062,6.2910970826553045,6.895890596936648,6.540048980610665,5.196765906751454,7.154715062043597,6.3847387145044,5.649609863537798,6.807483832913105,4.766313648837845,7.026139079459068
YFL033C,8.639938259395523,8.773402981115304,5.445808479806825,5.0762127590946164,3.2859201732535563,5.938391541399748,7.702597417808826,8.424521654523753,5.810486981697407,5.916660195042058,6.579711677658608,5.776952684840237,6.859155635069063,5.8059666811204735,6.072633356156268,5.472943097203103,7.178085872114037,7.977135309612466,8.060396928986577,7.588395154048126,9.51053919668654,5.879865937695981,6.322885492892263,7.252672152253555,8.947040812758347,5.4620385044620505,7.145192353686959,7.4941568490000225,3.64074490468589,6.161212157464672,6.024989534920543,6.788356713347242,6.6538809661258265,5.648616980054992,7.149304453082838,7.459910008888085,5.2336791098713835,6.266829549462982,5.052349872675814,6.689162488351336
YFR014C,8.876644113856473,8.893813812651691,5.261191772121894,4.979862794139879,2.8562995191137337,5.7684317607841145,7.676473897775581,8.585681719061531,6.027458176000133,6.1057466160479965,6.6037405588796725,6.1607494399612746,6.7777538566413655,5.66849431246897,5.7851041735182855,5.0838038685392215,6.689053020475018,8.075108680120827,7.486550832679782,7.175367444174782,9.758570231696282,5.828087077585349,6.200533285352856,6.643736083722388,9.104298723511576,5.469831357353289,7.091521444282964,7.09060948450484,2.832379237484456,6.420119439293456,6.214201871906469,6.797026861432879,6.769617877053598,5.507206909953287,7.437489893467361,6.451482240344013,5.663332614101049,6.775225339495447,4.043607737337164,7.027277650249832
YGL021W,8.945532203335114,8.955221421354224,5.284743799620895,5.3409687371860235,3.7311351366431733,5.646669718453981,7.713162366323781,8.766523140552412,6.19662034784929,6.082343820908428,6.266099077480898,6.151191920110017,6.544065505142381,5.763696611561454,5.33428772785339,4.814852542781268,6.66104193629695,8.279362371921966,7.528820983164031,6.909257234889402,9.808837183625405,6.0561672497021055,6.420924602085518,6.6315461195932786,8.780049451468452,5.4796585138379585,6.890875170074988,7.454510048283867,3.648184235256181,6.513102761584556,6.1963335745160695,6.6811769816868924,6.697842369839868,5.431338837048188,7.400169759040886,6.373494953143816,5.732583455034693,6.839075032881067,4.676087308073767,7.0774952918357075
YGL083W,8.838480654305105,8.896120516943503,5.380098265538408,5.040415603702899,3.2091624179918194,5.564228459650259,7.828190924835013,8.641060498563155,5.828110760143025,6.001326594227746,6.500424721293235,6.106596279682928,6.472832341891773,5.787347865738349,5.6358432179647995,5.060464821698371,6.755842313152544,7.9945283870055155,7.68748341950961,7.177449249717572,9.593738868767707,5.880247145996725,6.1981210933090525,6.497188883391076,9.104556532250653,5.608772093386576,7.100298641110495,7.139428220614409,3.0286956504493987,6.435921483127003,6.003948113435383,6.78821433183245,6.834750567148267,5.463988769736352,7.551550482585896,6.337476966012548,5.6338980628252395,6.8170106275195845,4.594286324728262,6.944612866209764
YGL119W,8.654708111161261,8.838480335545512,5.256731984417387,5.242741230163062,3.6837256414917965,5.858136990049598,7.962500456773403,8.811307757571578,6.09061616912655,6.050232137900068,6.792656612632794,6.068391029708762,6.641611138181106,5.786321062697568,5.586978792342753,3.7379578522223835,6.894420281435738,8.331142485108304,7.797747543905835,7.185344624765811,9.550366823936226,5.9596255263351035,6.4100970511724125,6.433134486194949,8.851032501148179,5.551517951081222,7.029639343207549,7.507491519177138,3.7476860660566857,6.25291794862697,6.175727714063027,6.875575036655924,6.6556827307525275,5.60867222250061,7.043495498929375,6.715864061716817,5.6325419376453425,6.599309556376048,5.146102469428717,6.838319448076111
YGL158W,8.835167281095304,8.912243663931037,5.42365506361376,4.9126981868958035,3.3270336312348223,5.9205926781982114,8.040842296559973,8.704334964057182,5.613925187234075,6.18121978340286,6.724369580099966,5.883020099723384,6.6904928678295175,5.668285170882416,6.133484752781111,6.030489968874978,7.35325120472022,8.000633121625222,8.230522948914738,7.675622137421267,9.582564623463405,5.7761994989122245,6.283688505940067,6.101613148379703,9.16356763080805,6.1007991788450076,7.197114714713619,7.340184707564138,3.6596824513349104,6.3858991967081655,6.036918869003262,7.097446446359598,6.689123089053749,5.5516088882577534,7.0740656603108,7.409042413541467,5.465586345836881,6.748475421456723,4.545344713235371,6.966128363523994
YGL179C,8.680088908529642,8.749042422378254,5.510895946512255,5.047331258932958,3.5481271501261102,5.924751867915012,7.935797755779108,8.913085914330496,6.3510111251692685,5.96294472594538,6.6246696734778485,6.078485067503451,6.691272943866293,5.810858749616648,5.758888640530349,5.133493517903133,7.1310911256128575,8.208610405668418,7.81536014953575,7.2451309500310055,9.485300106709694,5.830293228657303,6.381445934861963,6.3929118046033935,8.933185494960819,5.531923085334963,7.193655156511978,7.391458440441643,3.827086269665722,6.5099305892399855,6.132672338483639,6.808118255434269,6.619824010826245,5.651771494848977,7.0072036373070805,7.138624760151548,5.19858434770251,6.6674582753729865,5.15178246432671,6.807176563235612
YGL180W,8.791493427363832,8.759792732343957,5.1369688208492805,4.797098460348883,3.645690678188656,5.8925801747570015,7.765425298378568,8.591850027064407,5.919095026204253,6.030942679743568,6.641145457217545,5.918730110214628,6.539920778140781,5.461579459624626,5.757440338302696,4.655891777178296,6.862414892548463,8.235059040562508,7.793667548516983,7.226126665804918,9.696892898817804,5.7450315002158785,6.08119319360852,6.451805012002519,8.751449853068937,5.797426339016028,6.903313561025622,7.525977152664543,3.1304175912068426,6.285193160962727,6.194007847374006,6.923574509778438,6.5527785881882155,5.50557498215845,7.360747402829205,6.7509931604441595,5.563624650640786,6.2983457904226325,5.092200103416274,6.865249824112755
YGR040W,8.712860928735305,8.445626583582841,5.6676446036851145,5.063840919069163,3.7263601906810377,6.1449980954902506,7.7135260497337725,8.754551752404781,6.172325054907796,5.908544995542928,6.6609045893941525,5.973220554279053,6.906134640575081,5.52701566687221,5.711120586217604,4.922213454060106,6.946061169550807,7.923841873805102,7.836680264392713,7.345430111756388,9.66045378039692,5.896568306637663,6.373711916069508,6.448985294893485,8.909912916844275,5.438105137965958,7.142442520338942,7.354523166914665,2.4556567804078338,6.445973910827467,6.031704975249829,6.601200768078241,6.743652305913846,5.698665886912195,7.303326908611162,6.793156217912745,5.331391589210641,6.067884636689152,5.087840793976274,6.999643643014696
YGR052W,8.866256998206667,8.677888638640573,5.20724377241365,5.7914292873009465,4.485284306507699,5.6525973042987765,7.985123580303267,9.057676715195813,5.762261992818615,6.169487531385214,6.390658215396668,6.300311523467907,6.491185404669361,5.593540898738984,5.376258292017195,5.219773825621519,6.873913840062557,8.390469512312205,7.777753499765824,7.161501731000135,9.369808274374698,5.344017083102979,6.453482095672465,7.045651128041438,8.904251310491055,6.1683266850401655,6.658578215079638,7.465813498094847,3.840449267641371,7.075508096278317,6.507333112150485,7.100153618200875,6.771025799053636,5.987073238538344,7.23200284691885,6.573157877359318,4.75532214469975,6.521691135704751,5.2450691664308415,6.994570416681576
YGR092W,8.717877580526485,8.715962688263309,5.706570490236894,5.066356399752136,4.434642891938736,5.8894285769156625,7.9931389496735825,8.647861479026332,6.265455582809405,5.994326910229932,6.768493050217548,6.0282547262101795,6.750345931567691,5.9592441857384415,5.952453028276827,4.679769666049892,7.348218623490053,8.135633734280917,7.982983211563164,7.704858988331697,9.75815181740226,6.587073115469573,6.7527550566685335,6.440558277725476,7.786200838284314,5.167468662819956,7.1994708283273186,7.575588208387227,3.649778016464725,5.999393652451364,6.002650377668491,6.857948087383722,6.470437379619581,5.685849865101037,7.1564172749003605,7.585782118173308,6.147546243915973,6.562621210527563,4.860320789914675,6.8767436656384335
YGR188C,8.928206688468604,8.712204279758021,5.6172481640289496,5.354707469495209,4.0126078714906965,5.7638013433800666,7.90414405568938,8.660879252188122,6.299959463744242,6.274060094185902,6.730668487536058,5.8628643108734115,6.417874646879095,5.943618073363032,5.684890786905923,4.697093899982908,7.166336579612775,8.109756946948178,7.710029661172099,7.360054996388374,9.530218764321443,6.237279499300816,6.617202009766253,6.680913130516522,8.351706975682893,5.424389577088935,7.277486236808636,7.562706291270372,3.4322962335084126,6.5876575988970565,5.9583707223031475,6.691978134304161,6.7864599691703615,5.658904272439214,7.436150617582966,7.060796171929175,5.74934852129847,6.270408212481028,4.951499480705111,6.823221060814272
YHL007C,9.091044243095661,8.567956987449882,5.835211320793,5.393935618209514,3.8145946751085495,5.801988515216026,8.046088570431202,8.516347286307514,6.058295551900313,5.910828822900762,6.982349704528901,5.8966758881759045,5.831642878608261,6.017741239189119,6.19113535689069,5.317227775346403,7.383366566497368,7.810074973282441,8.307601303270946,7.755994463186416,9.460919207950463,6.234866061632143,6.627719260038093,6.275952489333244,8.28085583652813,5.584580288440083,7.56722484383348,7.666583111958152,4.004882625167518,6.892341884598602,5.966314558761144,7.37494457557091,6.757538697466455,5.613016400110903,6.899152451511714,7.472224689649834,5.88370262849631,6.222990463846571,5.0438920863699455,6.83404889252358
YHR030C,8.676557208079489,8.591549121264693,5.318127258284672,5.4321947161161015,4.114051903781694,6.0778322154221245,8.060145195828827,8.371002257056386,5.985979124230474,6.098040863618972,7.146430648087554,6.233933431908504,6.923142456948241,6.201566189028284,6.025480864202804,4.627811333507351,7.054180745558794,7.896203256058023,7.880453368548619,7.307867351432281,9.899211793061903,6.105137102400932,6.725193282054918,6.4557993493826284,8.880466096583508,6.5915765314718175,7.568628930736942,7.562780296876955,2.3290967036512606,6.273541322484799,5.942296545678365,6.7391439473349175,7.278279868543072,5.78557461137437,7.258349979520938,6.69953763088504,5.831272146535228,5.964467406128099,5.2560758335042586,7.050958216215106
YHR079C,8.490892003970174,8.65902184844139,5.664096071537921,5.009191704502993,4.380731396238986,5.9668825881823135,7.836388984460275,8.379650593555903,6.5610662223465885,6.180356917807457,6.5359505796861574,6.1581065661344905,6.811371286123311,5.894675634371555,6.228566142696365,4.8984218928413865,7.398230622260201,8.029172205993376,8.021562907150633,7.480994757174304,9.604874222458069,6.144942996122388,6.421724507453202,6.376695985963941,8.727456421738836,5.708718447104199,7.507948763576167,7.471002080835552,3.6757497348582566,6.569767188681609,6.126982470049449,6.9121063979117965,6.964484667391,5.887966011196767,7.1550245723032475,7.539202419480581,5.687277863158518,6.325495172564176,5.0518621640323484,7.0922262951510575
YHR082C,8.698905983839134,8.553594629376413,5.766809769669868,5.142504287287858,4.189687559423668,5.802469816851215,7.972748286051908,8.581829207552941,6.2529922811954695,6.234133817147487,6.845337308876651,5.905727555847817,5.985652961974018,6.112549115411954,6.528777398194334,5.563193472854394,7.5435524749518175,7.727580172834332,8.20682080873121,7.74447507099167,9.449308616661687,6.214324896103679,6.445060631826143,6.352037608680174,9.00400659819755,6.095461453524817,7.859672008324982,7.581475201620009,3.7212909666183096,6.709236492624651,5.936461849175885,7.1104102050487805,6.726773419305049,5.88911587262076,7.024695556931719,7.413208044677456,5.381473102959174,6.0259522654974855,5.375504787868394,6.907430276466073
