,YBL045C,YBL076C,YBR085C-A,YBR177C,YCL009C,YDR298C,YEL071W,YFR053C,YGL087C,YGL255W,YGR034W,YGR148C,YGR175C,YGR205W,YGR210C,YIL043C,YJL178C,YJR109C,YKL085W,YKL145W,YKL216W,YLR075W,YLR179C,YLR216C,YLR249W,YLR292C,YLR325C,YML078W,YMR110C,YMR131C,YMR215W,YMR309C,YNL231C,YNL255C,YOR095C,YOR222W,YOR285W,YPL143W,YPL262W,YPR163C
YGL179C,7.12066627942666,6.417290904672147,4.4172101448236205,5.6975809268800806,7.635821522573183,5.305547715482166,8.112668373758702,6.8070252060849565,4.429117537667724,5.133493517903133,6.097924957812352,6.296429210466383,5.305826137909358,4.5721870415770915,4.55648019130279,5.418082526984223,4.761216388768228,7.193655156511978,6.933980870398862,5.938371959078461,5.776718501802198,8.504081831676151,7.82924127474883,4.6718920114194455,8.35264961982016,5.0312429806373755,9.274859764912852,6.5617022718978335,3.809910071252517,4.413223030545772,4.081898518436016,5.8803452540229655,5.072845243786477,3.781912163281042,4.297224260179141,5.793310235566612,5.9820635722906825,4.350061480366101,6.807176563235612,6.5424993811551335
YGL180W,7.319672978105638,6.6562800126458095,4.688928753111546,5.469853350380225,7.6290859710125725,5.431911178855945,8.09913569390127,6.530226101889441,4.399500465452479,4.655891777178296,6.164724812756621,6.105601050561293,5.107312342637681,4.658317916852972,4.509696843120841,5.679148726122854,4.495032268129001,6.903313561025622,6.583474026474121,6.194947651324076,6.022606673877473,8.255188326977153,7.573668682238194,5.019997345977063,8.73972869890245,4.255716794374757,8.607676828336691,6.871383692268133,4.419912474713821,4.080403305927845,3.9350666036555566,5.88686373098014,4.724699359594084,4.039346741222815,5.367337993871828,5.744100147956476,6.230683571873128,4.958313937081723,6.865249824112755,6.336352764942572
YGR040W,7.4377982028417495,6.328074352057826,4.766831695368951,6.05807314771332,7.579153040354308,5.07303361162085,8.012462939596123,6.959627007995999,3.8167993568408543,4.922213454060106,6.4276182432381175,6.413948281554098,5.502089458665897,4.556306144558001,4.724823962796319,5.147123372611898,5.219958983455388,7.142442520338942,7.005164846960943,6.21914834573493,5.940806546413066,8.280948369048263,7.713074565444088,4.660579043171858,8.828081031684693,4.77438622525,8.168631163188108,6.312820767808156,4.499451247778619,4.398102720360946,4.607595454185562,6.337763627672127,5.124935729073168,4.111386029687214,4.238786834227326,6.540996196015363,5.374634316555898,5.20691686907684,6.999643643014696,6.8424676057605645
YGR052W,7.03947176780819,6.2635613764304665,5.021932609322909,4.58418703751,7.6294368113018685,4.747631031011457,8.04131214172276,5.92211625249879,4.751501244888929,5.219773825621519,6.0221690107452925,6.867290264013271,5.877356364864219,4.571849359804245,5.037523678657672,6.2937816579444155,3.574458312808852,6.658578215079638,6.666161382549187,6.487932646244893,5.3056714446042195,8.105809579280226,7.309808335985018,4.571371872448467,7.973913292361227,5.400153559681781,7.888253446100562,6.652075503262688,4.309689321424268,4.841036872248377,3.7440887563144982,5.440980234950604,5.048646075922966,4.308355539210133,3.3316878665087093,5.405343042998823,6.89801394020414,5.092332691958719,6.994570416681576,5.611238748875746
YGR092W,7.306631250792904,7.108874685945201,4.661414873951323,6.104843272498995,7.45051754858116,5.851484804451285,7.8600539235954,7.42831784642085,4.510020202945399,4.679769666049892,6.312586575353415,5.954006204150474,4.948129404482688,4.583692994621839,4.398105103998387,5.5425343592100695,4.888822187011014,7.1994708283273186,7.318653550726742,6.191731883541754,5.91683367352274,8.508369346563065,7.593598680582732,5.021994540706778,8.815083407782916,4.592607120634323,9.177510133602308,6.5432017466286485,4.2155690923445865,4.130672422836014,4.75099930620754,6.25974657572744,5.568175411403352,3.1253032737100552,4.610166613863299,5.904027236237937,6.311282361597523,3.839269181669201,6.8767436656384335,6.552862957014113
YGR188C,7.2696907221944835,6.848127915237514,5.292015732050018,6.421185307667281,7.602918227561313,5.78688411567209,8.019182984067793,6.7868361105816435,4.829372418297392,4.697093899982908,6.645053629597496,6.294884197263002,5.2854638031642365,4.753536896010336,4.6488351594036015,5.687008189950022,5.178135733263886,7.277486236808636,7.319482238403679,6.463151433844316,5.913226871693575,8.41361128777656,7.661592408439502,5.082193012194193,8.532213215936977,4.5611299743393605,7.902509125655105,6.352777614597732,3.887663679227705,4.095920335521531,4.77926828459266,6.303411802983849,5.287695947123324,3.545296378774893,4.618016033866363,5.729573544064125,6.3973403898049375,4.8234499822209225,6.823221060814272,6.856178140801606
YHL007C,6.848475204717668,6.953648098794448,4.496105883744592,6.1579840708160365,7.844805879796171,5.550802976088956,8.753048001779609,6.379914436320791,4.909953703964232,5.317227775346403,6.443745351130168,6.153033154271836,5.428822169144274,4.727174251729737,4.226336996225148,5.2647725374467695,5.107803383541082,7.56722484383348,6.959507997487115,6.017584957268058,5.8615518071784845,8.212576359340042,8.053028723178263,4.775346857086246,8.578227029516297,2.785854986240037,8.294417629652422,6.3617057246936835,3.997018990052148,4.346155485218132,4.327565795513147,6.271619725794724,5.594437258948758,3.996376869916368,4.668362735410783,5.9662536480606025,5.639738588026132,5.355449044348099,6.83404889252358,6.234389005631442
YHR030C,6.536787408450049,6.342250350850046,4.948106309404012,5.8572662555656105,8.070227547630529,4.983839549245985,8.716617850503027,7.205513059547818,5.203061588168962,4.627811333507351,6.163071940621502,6.1149406426750845,6.516039160002878,5.287847859166542,4.6017862462252985,5.938277738864505,5.09184754763452,7.568628930736942,6.871773438682017,6.1914647590835825,5.374675827976224,8.073762519500594,7.998732970716145,4.935172181496123,8.548513592230243,5.159037526460403,8.129208096072556,6.449102789630027,4.4369128666317765,4.448082040901988,4.1860406103083845,5.4305232039530935,5.36497686737182,3.5845267873264133,3.5330508208846836,5.773667968914214,6.6015487077703865,5.161681232078209,7.050958216215106,6.567525501582444
YHR079C,7.04325479805734,6.3470237260216305,4.842025533557728,5.440205698079399,7.537110333881425,5.281438139240847,8.143086270192995,6.604993766267035,4.948323628395329,4.8984218928413865,6.1421894209584025,6.3420005425338335,5.981312992737003,4.212788697892431,4.611328669853633,5.825737191741282,4.650106681889541,7.507948763576167,6.4639364132337525,5.877770617041644,5.750003985103676,8.026118106516089,7.5560734692141605,4.631995706593645,8.353945225995666,4.583924619724546,8.357499135903485,6.469313150988263,3.9098083265717536,4.469556916907174,3.7952392179442613,5.7489828250338535,4.832124391912938,4.10392878149754,4.384496048137334,5.452104389349611,6.7031986860063375,5.3198505087469234,7.0922262951510575,6.3673421433579644
YHR082C,6.670384981819859,6.634529307242322,4.891636714262496,5.572091844028266,7.9435928640477265,5.375398390178788,8.580154316998192,6.314198190959082,5.165828776870517,5.563193472854394,6.160697949580017,6.060575032513747,5.615691026181308,4.5572457706148475,4.990474970063197,5.995996049433964,4.6995538495948,7.859672008324982,6.711060342200098,5.858149853908127,5.598175998610039,8.163265316521331,8.01170563124585,4.774762886734209,8.616120716752503,3.304951943093931,8.433025424362171,6.336929536194153,3.9584702262962224,4.172857592105745,3.838481946228081,5.888722691007844,5.143630317823428,3.8782168646782935,4.6238640657240015,5.539700490535816,6.084984755060343,5.391234705160785,6.907430276466073,6.092294769325642
