,YAL007C,YAL012W,YBR127C,YCL057W,YCR012W,YDL055C,YDL097C,YDL236W,YDR382W,YDR395W,YDR516C,YDR533C,YEL021W,YER012W,YGL062W,YGL255W,YGL256W,YGR124W,YGR231C,YHR146W,YJL172W,YJR109C,YKL013C,YKL145W,YLL026W,YLR179C,YLR292C,YML004C,YML063W,YMR217W,YMR297W,YNL138W,YNL216W,YNR021W,YOR099W,YOR198C,YPL143W,YPL231W,YPL262W,YPR074C
YDR490C,5.047249707763628,8.494230740263296,8.524873350543295,4.8731037876256185,10.67588128625532,8.394552297550442,4.699785295746309,5.153248061713007,8.717846210873736,3.838594975339238,6.732710239859989,6.447241198574539,5.585229634950129,6.326287430912452,5.760272491205517,4.317007848747523,7.947106648565643,5.612389904838063,5.8602241889286395,5.709227231655147,8.935199849426551,7.147347806751545,5.4201024887402856,6.140212733961022,7.296499815716543,7.538612262033173,4.530681687699675,4.366915547097906,7.818433835054457,7.201766746937518,5.597970864995922,5.337332399841129,4.3742553753948235,4.384111706035172,5.562796924391936,7.078476318951619,5.145164361789163,7.4835091245593235,7.031515241367639,8.169230149990902
YDR523C,4.793364354245957,8.390695152829526,8.389847624346691,5.2125216159200525,10.878403960659682,8.423220716491352,4.9373562362876005,5.106251425000063,8.770316943315423,2.4434704774753726,6.686772854331628,6.190988506612303,5.2956125223780806,6.0931244610259565,5.905899192493662,4.946874015770644,8.635770721125237,6.454334198298247,5.844338165352943,5.9620457871580514,8.728186146838473,7.42072560748265,5.167118193283259,6.279335515570352,7.17527258686329,7.625355006095077,4.660410992303905,4.166155937706709,7.899015744685278,7.0373009696681335,5.540151221455363,4.768370513906146,4.6830609634221885,4.588081023702234,5.5179272075571575,7.045395432988701,4.862655354499045,7.2748109651789274,7.111784884319272,8.29345379753576
YER129W,4.845224523213139,9.060670813831912,8.710542981930281,4.650581575153568,10.453423227150182,8.156140758874129,5.280775702196569,5.476596015056561,8.432625361146172,3.822972335601984,6.8208532101396475,6.168579033132395,5.046881262889073,5.859188794607043,5.681398345650577,4.549739926150044,8.576763064639987,5.969008974901122,5.676673314401178,6.083618454107535,9.137898902611516,6.749364510639698,4.85979301163166,6.349762311170281,7.260479709027258,7.922510659771992,5.395619137701862,3.851654255515533,8.464590970202687,7.629159915079748,5.862912358966717,5.432244859709128,4.958022432483093,5.172907826012309,5.6247990567722095,6.772258291136112,4.109163887382152,7.032891391997299,7.026139079459068,8.188402166995902
YFL033C,4.593120526543525,8.639938259395523,8.619690500734341,5.060363960887954,10.629607536827908,8.547668442181344,4.59304599802152,5.223834858961553,8.44890327151932,3.4956641641830664,7.226586676929928,5.810486981697407,5.077067951871105,5.916660195042058,6.072633356156268,5.472943097203103,8.828145233076699,5.809476094639976,5.671552659269622,5.802975793787142,8.947040812758347,7.145192353686959,4.690893340198912,6.594811697227706,6.691049169978143,7.7864262594620515,5.121863196304763,4.6490356728641204,7.8828474142346305,7.1247893745917406,5.444951139713692,4.821022501102939,4.544177898492161,4.319384501823134,5.6902421563769625,6.7837349215655385,4.4264037339115285,7.750781929842923,6.689162488351336,8.356052329907884
YFR014C,4.721665980384205,8.876644113856473,8.531046153367315,4.3365465957795,10.871595889693008,8.479617719776376,4.678901602055285,5.5065024927755974,8.506050362134543,3.67097642612584,6.8420225232845855,6.027458176000133,5.491089829034902,6.1057466160479965,5.7851041735182855,5.0838038685392215,8.383838307979563,5.884759604159151,5.0736632061957385,6.05593441323512,9.104298723511576,7.091521444282964,4.805772329730517,6.2775582365442375,6.6850877316578305,7.960160049951763,4.786534023742858,3.076356771838664,8.472490250681282,7.462928809315032,5.6937655624535894,4.8489758091686985,4.439810139196876,4.808605567037404,5.2201142071477635,6.979857128937267,4.72496970836283,6.884413314242095,7.027277650249832,8.418151024899299
YGL021W,4.7689417721062375,8.945532203335114,8.44573171197065,4.522825238844897,10.80355748231737,8.320790150536531,4.9105033193145475,5.155313190655418,8.270881900990709,3.7043637118391626,6.947838101562616,6.19662034784929,5.5137089708132905,6.082343820908428,5.33428772785339,4.814852542781268,8.28839014524485,5.8973213605291175,5.449434971423703,5.9445460870094635,8.780049451468452,6.890875170074988,5.163922279445082,6.159828610895548,7.220298522242192,7.9374131168433895,4.8748577359324266,3.6484428098004575,8.302571948070387,7.3715149948910685,5.919996764087014,4.896203419715984,4.697974877606877,4.509930624691121,5.339756149876905,6.913277201462262,4.789295439493628,6.878530638966929,7.0774952918357075,7.829491428116932
YGL083W,4.878379577272564,8.838480654305105,8.441087358424097,4.441703164649859,11.014986556726498,8.214160044387,4.802067723031753,5.704248019467141,8.392203538809131,3.6387108680804015,6.818045419015805,5.828110760143025,5.467402643891409,6.001326594227746,5.6358432179647995,5.060464821698371,8.646197603189034,5.77552892941365,5.147095237657632,5.934182477549714,9.104556532250653,7.100298641110495,4.990134317715818,6.283943136550831,6.6584367736237144,7.9257533526987345,5.0708897591837685,3.223543705620315,8.050909120734058,7.5927820185709365,5.505496492766897,5.032133244330724,4.409404814949643,3.552314572450686,5.199351717213877,6.9181234487680765,4.5308129102680725,6.668803874684253,6.944612866209764,8.287466600571458
YGL119W,4.878800584604639,8.654708111161261,8.644442650122134,4.870316563400731,10.993278491629734,8.459034109324564,5.1143755272375415,5.308574077749076,8.184803697495465,3.5995107774747828,7.034503213210344,6.09061616912655,5.209130269924283,6.050232137900068,5.586978792342753,3.7379578522223835,5.946163299641883,5.925501379505238,5.735247331031232,5.79481726843196,8.851032501148179,7.029639343207549,5.087089368395799,6.170344159989659,6.916911609773825,7.863322792332478,5.121050926458428,4.672896903612296,7.802191571893745,7.384736231527518,5.596207064507543,5.208361846949962,4.631085493665727,4.3268558052189405,5.5754628871337015,6.79912466577725,4.089553370340753,7.104990501945562,6.838319448076111,8.037376040085599
YGL158W,4.898674289173547,8.835167281095304,8.545665754658836,4.744562773437488,10.729351245425397,8.287878015651897,5.291064063901782,5.522431557596935,8.663283196464478,3.9319523581797924,6.839039784987624,5.613925187234075,4.9614374476208445,6.18121978340286,6.133484752781111,6.030489968874978,8.927965204208066,6.174385435275176,5.621430527570771,5.679041019540388,9.16356763080805,7.197114714713619,5.012504156440767,6.115088632913207,6.766024837731675,7.596983898824911,4.970084008285725,3.6968781649338833,8.015699221403633,7.4590826666313506,5.141723145188376,4.59769231504368,4.2145881063661,5.069284288740816,5.607359978379898,6.634782826266687,4.569819885691858,7.725280597551363,6.966128363523994,8.36952376865556
YGL179C,4.800090363340153,8.680088908529642,8.573295903430886,4.768046395703835,10.759886646029372,8.373537787233705,4.844838834163312,5.2805899103313845,8.290075184693919,3.5593939043324823,7.088326051785329,6.3510111251692685,5.268030552171628,5.96294472594538,5.758888640530349,5.133493517903133,8.808990303281844,5.899750066972872,5.557349033433543,5.758017647369512,8.933185494960819,7.193655156511978,5.0396531198266485,5.938371959078461,6.758330434200546,7.82924127474883,5.0312429806373755,4.536710637569704,7.7892677616873325,7.397963159740658,5.394744630825452,5.1605090458278005,4.467046996437843,4.487148369682616,5.5708228388141725,6.935666840235215,4.350061480366101,7.3157316776977455,6.807176563235612,8.174282047287289
YGL180W,4.829938977436292,8.791493427363832,8.552067607299495,4.610649639997376,10.833318588223552,8.606702928202697,4.749546841202721,5.5515206076960215,8.622632419088035,3.598449894864042,7.016083537295861,5.919095026204253,5.363439617282538,6.030942679743568,5.757440338302696,4.655891777178296,8.349468704053958,5.586002030573604,5.553049655595778,5.623343022903487,8.751449853068937,6.903313561025622,5.167300902526407,6.194947651324076,7.215569381387483,7.573668682238194,4.255716794374757,3.764113418907964,8.034259793190216,7.3330813242895365,5.338029199326497,5.121151473872046,4.200078668013813,5.274408789246509,5.571431584710366,6.731501342175203,4.958313937081723,7.325013826114334,6.865249824112755,8.57444431479804
YGR040W,4.8762713104191215,8.712860928735305,8.396415945835956,5.180402175125336,10.720770433875119,8.6519522561911,4.638533271570125,5.081568542170136,8.747870481608237,3.6358325615815814,6.864521030907787,6.172325054907796,5.33752432128392,5.908544995542928,5.711120586217604,4.922213454060106,8.658438041818192,5.398554079693028,5.4060073537968565,5.9670957394484105,8.909912916844275,7.142442520338942,4.9173400680466655,6.21914834573493,7.15829692042969,7.713074565444088,4.77438622525,3.880238386594075,8.129063337162457,6.940430991157125,5.606919590508465,4.995510659869754,4.565689627081935,3.9500251445402794,5.829204914447974,6.517259900392539,5.20691686907684,7.29459421687071,6.999643643014696,8.403362621826185
YGR052W,4.940326088432372,8.866256998206667,8.655994351462358,3.752047367737683,11.058678252570779,8.470822874780769,4.751964391078401,5.54706395839317,8.82048254397264,3.553754083866524,7.49115667163497,5.762261992818615,5.3462948234143886,6.169487531385214,5.376258292017195,5.219773825621519,8.846802042420927,5.9838420588499295,5.785978158003746,6.0037575949582624,8.904251310491055,6.658578215079638,5.707725780865602,6.487932646244893,6.372113503571634,7.309808335985018,5.400153559681781,4.41346420904997,7.597588980206858,7.7011739529020655,5.046664891359477,5.465026487467243,4.753111648048122,5.237882989194132,5.240949584310526,6.5435590541801485,5.092332691958719,6.6357017950943264,6.994570416681576,7.758642852052951
YGR092W,4.948334512056388,8.717877580526485,8.361119284312673,5.010191199817749,10.594907121595924,8.47445521859137,5.073791607261006,5.135112365863232,8.461567001490787,3.407790102466313,6.936664125937173,6.265455582809405,5.47284612478034,5.994326910229932,5.952453028276827,4.679769666049892,7.283149255782903,5.966739854756463,5.881120678689048,6.2329173955028745,7.786200838284314,7.1994708283273186,5.2654747983240755,6.191731883541754,7.472284636599449,7.593598680582732,4.592607120634323,4.746079666172543,8.009812375927398,7.10412053159815,5.652788328707057,4.622412765266168,4.469167702126679,4.835913759231605,5.455685874642067,6.785392469713606,3.839269181669201,7.730955192009955,6.8767436656384335,8.340371484874728
YGR188C,4.854474485503124,8.928206688468604,8.481455696771231,5.091413396094913,10.753159676788998,8.452910955096183,4.65343245994759,4.978598591298632,8.649455207805932,3.676930332005405,6.7662944592704575,6.299959463744242,6.195460701665374,6.274060094185902,5.684890786905923,4.697093899982908,7.964383241246329,5.948897289477258,5.752922625404987,6.13395410146837,8.351706975682893,7.277486236808636,5.281285503302162,6.463151433844316,7.466223896311622,7.661592408439502,4.5611299743393605,4.102373691207472,7.971709645263015,7.138884746359952,5.5875352160129115,5.26686663865984,4.440699076081594,4.570758151159798,5.409748559826458,6.765283314470498,4.8234499822209225,7.3604366276409054,6.823221060814272,8.270384706479582
YHL007C,5.291319800064652,9.091044243095661,8.358006054877682,4.9246530141632165,10.78826890434418,8.638904475729264,4.363524089632817,4.771364026917529,8.994249318935,3.8564091532809672,6.5254526922116325,6.058295551900313,5.488811816400447,5.910828822900762,6.19113535689069,5.317227775346403,7.598881188735456,5.553396595808951,5.901135025284157,5.709097463014487,8.28085583652813,7.56722484383348,5.15256282801776,6.017584957268058,6.802306854557264,8.053028723178263,2.785854986240037,4.218678161549736,7.80863250835745,6.860185267424328,5.261714346286488,4.226183672311668,2.5996462104794915,4.251099875011397,5.745876704498827,6.857039154442132,5.355449044348099,7.767434975977743,6.83404889252358,8.500175146145878
YHR030C,4.9924600408826185,8.676557208079489,8.541596803531533,5.3180509845684565,10.8425373758449,8.74785194420012,5.065115472063507,5.45811709761176,8.569289601003586,3.2709529669945336,6.764783857525329,5.985979124230474,5.196623133234196,6.098040863618972,6.025480864202804,4.627811333507351,8.301391156149078,5.426153458976712,5.8714700401410385,5.924222458210955,8.880466096583508,7.568628930736942,4.468748883864344,6.1914647590835825,7.375435298577954,7.998732970716145,5.159037526460403,4.332955896345487,7.916123625952134,7.0374709431910505,5.721568373976022,5.4598758202257525,4.453568611093368,2.8384954687400383,5.99228161912762,5.9945656834253525,5.161681232078209,7.043390457987554,7.050958216215106,8.322786982013994
YHR079C,4.850393449959652,8.490892003970174,8.508489089457356,4.7710843892707,10.65974202510189,8.496833084553538,4.754071795084929,5.140615159580023,8.51051698688851,3.546772447639641,6.850007574759476,6.5610662223465885,5.63593644486855,6.180356917807457,6.228566142696365,4.8984218928413865,8.062331611693365,5.674306226572472,5.535864968171119,5.660578151259745,8.727456421738836,7.507948763576167,5.063329093485372,5.877770617041644,6.898217921079126,7.5560734692141605,4.583924619724546,4.052684300275308,7.889529551625018,7.134076174041624,5.1862897280327465,5.1289140389538685,4.001813878255393,3.376367435523945,5.476970953584424,6.901671263241629,5.3198505087469234,7.697068186350005,7.0922262951510575,8.275804095513033
YHR082C,5.124617022536979,8.698905983839134,8.418351577821976,5.180996270433332,10.626559398484412,8.611090875494126,4.473771753879356,4.916568827262656,8.891436215952877,3.6838164578385215,6.635526619438794,6.2529922811954695,5.379616459317097,6.234133817147487,6.528777398194334,5.563193472854394,8.315405992094297,5.459855205767624,5.923123974065683,5.527727731687127,9.00400659819755,7.859672008324982,5.393276990709939,5.858149853908127,6.914888790547455,8.01170563124585,3.304951943093931,4.253937807285003,7.891342023311544,6.922951194535592,5.482005237311816,4.705190867497112,2.9919496065945643,4.222698577941552,5.7173770570235325,6.965518101078743,5.391234705160785,7.70845907806759,6.907430276466073,8.425764226651296
YHR135C,5.027758497440676,8.836210432453951,8.359169653046559,4.721886562735961,10.755270723952462,8.548211432257197,4.5316704274540385,4.982065701273054,8.85444794101711,3.8000622955583694,6.90518688163689,6.1773694611459735,5.64317984064399,6.092381016479429,5.969992313214385,5.025032367817068,7.776618327655027,5.850239535552027,5.629780224420391,5.449476470000984,8.82794892193307,7.221605965781642,4.850743249468146,6.184526394743247,6.990391612913071,7.782354279077656,4.628646028432964,4.281636396964756,8.145202751639403,7.459831544343017,5.395661638710989,4.67941792337108,4.350886919990823,5.206431763775068,5.738657525302278,6.855120177547053,5.477714264924382,7.3547241750730095,6.9182666923660765,8.189250633106552
