,YBR089C-A,YCR004C,YDL014W,YDR063W,YDR226W,YDR321W,YDR382W,YDR427W,YDR533C,YER012W,YER052C,YER091C,YFL039C,YFR010W,YGL048C,YGL062W,YGL206C,YGR231C,YGR253C,YHR107C,YHR146W,YIL109C,YIR034C,YJL012C,YJL066C,YJL217W,YJR016C,YJR109C,YKL212W,YLR180W,YLR197W,YML008C,YMR217W,YNL104C,YNL134C,YOR007C,YPL226W,YPL262W,YPR074C,YPR163C
YDR490C,5.7942895632155285,6.175008566380594,6.765849502294487,5.312382953000713,8.271147309479685,6.0144874540144455,8.717846210873736,5.071321525329238,6.447241198574539,6.326287430912452,6.403581351916585,9.666387433332538,9.017864182830404,4.163898822808247,6.070314662911607,5.760272491205517,4.345845215330199,5.8602241889286395,6.457417244512112,5.979726980603759,5.709227231655147,4.498023291114482,6.629805658979479,4.851851568107199,4.445162797161025,5.624530843677723,7.8294327534295425,7.147347806751545,4.546386466030532,7.9273872212345795,6.684681512280598,7.061775845063512,7.201766746937518,7.2034180932269285,6.1773153043271,6.334648656321558,5.818591693391247,7.031515241367639,8.169230149990902,6.1745359865465295
YDR523C,5.73667153114599,6.234187918387923,6.751954861499544,5.074792145692547,8.159892201781284,6.00932814695076,8.770316943315423,4.872633327558899,6.190988506612303,6.0931244610259565,6.81345499874084,9.320434576961997,8.602975176643225,5.773060206987273,6.062513675749242,5.905899192493662,4.655109827466897,5.844338165352943,6.523910812090143,5.714621954822638,5.9620457871580514,4.350590767116732,6.374914179986009,5.136581269603509,4.527172535442774,6.422746777222465,7.832095998055188,7.42072560748265,4.885333926107363,7.918776896068254,6.711096253592613,7.1332587276230885,7.0373009696681335,7.507285851448863,6.00021538842948,6.255867271209742,5.760918873030223,7.111784884319272,8.29345379753576,6.346942401031531
YER129W,6.090266955553452,6.218938959851219,5.550602993410367,5.477054359027402,8.518779675242186,6.254897078368306,8.432625361146172,4.787920207816772,6.168579033132395,5.859188794607043,6.722819827572294,9.992223087529556,9.236929138566543,4.375802726980071,5.5994200052341805,5.681398345650577,2.8980509536927093,5.676673314401178,6.494876184941459,6.001503079282887,6.083618454107535,3.3924787168815405,6.580974493597071,5.1116714033343085,4.428390654786165,5.28645883348328,7.879798014671005,6.749364510639698,4.447268500178428,7.815551146676206,7.1819224065418075,6.540048980610665,7.629159915079748,7.194992110019872,5.292689203723878,6.807483832913105,5.813920462133037,7.026139079459068,8.188402166995902,6.687961514093638
YFL033C,5.803817159447135,6.262725634485617,6.443229793838612,5.276814071203893,8.225512658702526,5.796977872941732,8.44890327151932,4.786775093777488,5.810486981697407,5.916660195042058,6.579711677658608,9.805014950353224,9.216107331130573,3.941944637115496,5.8059666811204735,6.072633356156268,4.857475760953895,5.671552659269622,6.3116023807636426,5.671929464839836,5.802975793787142,4.575406905063784,6.550125259807329,5.412536279207228,4.177336850937581,5.4620385044620505,7.930943357252198,7.145192353686959,4.752623521659755,7.916550123706813,6.549115533417102,6.6538809661258265,7.1247893745917406,7.203586916432826,5.299576431259308,6.266829549462982,6.173575026146616,6.689162488351336,8.356052329907884,6.351883814785615
YFR014C,5.548899439400175,6.267741265376551,6.675745194787245,4.976768557301613,8.293335467220299,6.399330304889783,8.506050362134543,4.128845470964001,6.027458176000133,6.1057466160479965,6.6037405588796725,9.752894428792883,8.928481573910439,4.156250159033879,5.66849431246897,5.7851041735182855,3.706385115705612,5.0736632061957385,6.473233361242008,6.669532413404628,6.05593441323512,3.996048665729104,6.436532076786696,5.375091444412719,3.9643133806115287,5.469831357353289,7.842420222033947,7.091521444282964,4.2584828196802444,7.877760420600274,7.116967021804477,6.769617877053598,7.462928809315032,7.129745903211756,5.553621523735544,6.775225339495447,5.602530433057538,7.027277650249832,8.418151024899299,6.830794843432965
YGL021W,5.859805816315768,6.390934584345916,6.598855789421834,5.411912842784034,8.343848240995786,6.211046297646843,8.270881900990709,4.766177248607201,6.19662034784929,6.082343820908428,6.266099077480898,9.585232677967888,9.095275975563029,4.223881086906316,5.763696611561454,5.33428772785339,3.3179361811596286,5.449434971423703,6.595939364033075,7.19818895742195,5.9445460870094635,4.384618383764184,6.286101526119789,4.788618121748361,4.41441843954944,5.4796585138379585,7.640051479047632,6.890875170074988,4.339685819385829,7.847918850502241,7.12010177403887,6.697842369839868,7.3715149948910685,7.222518362399918,5.909561786459649,6.839075032881067,5.3633338314525325,7.0774952918357075,7.829491428116932,6.573705778375468
YGL083W,5.414991131095039,6.112022258544916,6.779795184955474,5.050716590349392,8.42057126536089,6.362485884135425,8.392203538809131,4.428661156007707,5.828110760143025,6.001326594227746,6.500424721293235,9.849807963082586,8.863084848719483,4.278220588337392,5.787347865738349,5.6358432179647995,3.3637925716974784,5.147095237657632,6.539512396040164,6.9364992232038745,5.934182477549714,3.657837181942421,6.3372992758843525,5.330440470006233,3.7798146689539376,5.608772093386576,7.806314978425214,7.100298641110495,4.020885974775688,7.890882086427183,7.1233827932834615,6.834750567148267,7.5927820185709365,7.082264518411398,5.6421851663647855,6.8170106275195845,5.556634867253493,6.944612866209764,8.287466600571458,6.744688016871146
YGL119W,5.681007216009963,6.1673003720599215,6.655805466549072,5.292995481080374,8.404404160892007,6.1076071881906415,8.184803697495465,4.837650567438659,6.09061616912655,6.050232137900068,6.792656612632794,9.76847926276294,9.266367184838849,4.02130212988775,5.786321062697568,5.586978792342753,4.134867643229087,5.735247331031232,6.557402342620249,6.130319410887583,5.79481726843196,3.6526372325194947,6.490202766841677,5.377912940203209,4.6038415486480035,5.551517951081222,7.847610494393887,7.029639343207549,4.443470846798198,7.96573023761573,6.821511531785295,6.6556827307525275,7.384736231527518,7.368892932720362,5.329068539739461,6.599309556376048,5.765752366434383,6.838319448076111,8.037376040085599,6.4963343875810216
YGL158W,5.601110581266696,6.183735813180653,6.041744791665666,5.214266990333564,8.47766478035407,5.90415835743819,8.663283196464478,5.142922372340965,5.613925187234075,6.18121978340286,6.724369580099966,9.985059666759843,8.930833058381465,4.3138122633599565,5.668285170882416,6.133484752781111,4.815601331172457,5.621430527570771,6.476778664784052,6.133534467433798,5.679041019540388,4.712197582752927,6.684520118541603,5.669349340677545,4.14784419149841,6.1007991788450076,7.91864947243304,7.197114714713619,5.062232623500433,8.03222621230503,6.981525480934192,6.689123089053749,7.4590826666313506,7.178862263715992,5.052772979210982,6.748475421456723,6.070441578168175,6.966128363523994,8.36952376865556,6.534564311014532
YGL179C,5.6516651744944655,6.085540234327103,6.691901561877621,5.231472482305068,8.309797640002866,6.044905333214395,8.290075184693919,4.581197742218304,6.3510111251692685,5.96294472594538,6.6246696734778485,9.806213007664015,9.106434102013019,4.397897066478409,5.810858749616648,5.758888640530349,4.476540128676251,5.557349033433543,6.556956960642528,6.128591053057312,5.758017647369512,3.941126296587413,6.5188890566852775,4.9331480067445455,4.306556306722529,5.531923085334963,7.823743558799875,7.193655156511978,4.602740681335403,8.050161587622748,6.803549495956233,6.619824010826245,7.397963159740658,7.1998443525276175,5.345185882117452,6.6674582753729865,5.99565431436584,6.807176563235612,8.174282047287289,6.5424993811551335
YGL180W,5.597099161693,6.287262710718974,6.600646627857124,5.080111536293309,8.400105594725657,5.980206482030718,8.622632419088035,4.869672570300542,5.919095026204253,6.030942679743568,6.641145457217545,9.72747402793878,9.198211803477596,3.6859220532504304,5.461579459624626,5.757440338302696,3.841977233162868,5.553049655595778,6.458780240844603,6.663818975290006,5.623343022903487,3.9620501394359464,6.674178723249211,4.743448120427717,3.8329145865414826,5.797426339016028,7.908585416999491,6.903313561025622,4.309319095707796,7.972181235871574,6.715711325457956,6.5527785881882155,7.3330813242895365,7.447163109728353,5.808652774347829,6.2983457904226325,5.787685249274029,6.865249824112755,8.57444431479804,6.336352764942572
YGR040W,5.75497859269107,6.191575182473693,6.773880491810679,4.782757683194565,7.91316583755158,6.014760084959619,8.747870481608237,4.479150556627432,6.172325054907796,5.908544995542928,6.6609045893941525,9.538804522387922,8.765336485952334,5.206330287280118,5.52701566687221,5.711120586217604,4.633487374425838,5.4060073537968565,6.34183639217262,6.197958663558768,5.9670957394484105,4.134788768785511,6.295773134631867,5.048621567105809,4.198387975515932,5.438105137965958,7.943561436199483,7.142442520338942,4.674828963361931,8.18060447403122,7.195004621427299,6.743652305913846,6.940430991157125,7.176238716750352,5.876718359204973,6.067884636689152,6.01080055183798,6.999643643014696,8.403362621826185,6.8424676057605645
YGR052W,5.970069232779975,6.401166471334723,6.7146166880108895,5.301493058147911,8.54404797280747,6.1634599244968475,8.82048254397264,4.660174401882263,5.762261992818615,6.169487531385214,6.390658215396668,9.99618618136939,9.458793030732695,3.8589188889012496,5.593540898738984,5.376258292017195,3.648853080024029,5.785978158003746,6.7607858452814185,5.776836013168973,6.0037575949582624,4.521927083907209,6.65267928456667,5.399690156713663,4.237403968449311,6.1683266850401655,7.690374648040027,6.658578215079638,3.2051114231851434,7.983487804281354,6.706057893634335,6.771025799053636,7.7011739529020655,7.061906847104572,5.8531049688603805,6.521691135704751,5.144313492533676,6.994570416681576,7.758642852052951,5.611238748875746
YGR092W,5.546733533500211,5.997313961807678,6.7485240129846495,5.149861218015478,8.264740563057835,5.748383067852311,8.461567001490787,4.896406591405979,6.265455582809405,5.994326910229932,6.768493050217548,9.79035338689543,8.831031023525654,3.923289250395048,5.9592441857384415,5.952453028276827,4.7219600826822425,5.881120678689048,6.485449748053795,5.829537634852171,6.2329173955028745,4.477692546697881,6.68066407404557,5.589374211293002,4.441662626282168,5.167468662819956,7.863331467878478,7.1994708283273186,4.947146988804409,7.905988973126366,6.929918476122112,6.470437379619581,7.10412053159815,7.023566405867786,5.731351319187211,6.562621210527563,6.355243548367668,6.8767436656384335,8.340371484874728,6.552862957014113
YGR188C,5.510786648442807,6.312939882549533,6.9092876427337835,4.934331908974633,8.257899813172513,5.907100464103565,8.649455207805932,5.100157980026523,6.299959463744242,6.274060094185902,6.730668487536058,9.424394032055986,8.606942967524473,3.1247435868161486,5.943618073363032,5.684890786905923,4.0673761212885,5.752922625404987,6.507954204566883,5.506091719854824,6.13395410146837,4.527250798827568,6.435910474061274,4.987506610242656,4.119936966949717,5.424389577088935,7.9654185871947805,7.277486236808636,5.0512512821242685,8.239270037626245,7.148248312435029,6.7864599691703615,7.138884746359952,6.9530414236238265,6.098132782354324,6.270408212481028,6.043717080955541,6.823221060814272,8.270384706479582,6.856178140801606
YHL007C,5.448649292410499,5.799219209097912,6.836096183173376,5.253012225944,8.040948507050231,5.852084647177799,8.994249318935,5.161125623733379,6.058295551900313,5.910828822900762,6.982349704528901,9.90177173613894,8.807533046622193,3.4685283289243483,6.017741239189119,6.19113535689069,4.60876044120154,5.901135025284157,6.35731715141416,5.804129883998576,5.709097463014487,4.637833762961259,6.641420342649878,3.151005598959314,3.7042612017547705,5.584580288440083,8.156418273103062,7.56722484383348,5.202017283783331,8.216375909497586,6.908513852333956,6.757538697466455,6.860185267424328,7.288763852309389,6.247915625285941,6.222990463846571,6.269748344773619,6.83404889252358,8.500175146145878,6.234389005631442
YHR030C,4.8709122125298645,5.813712353311633,6.930816323495817,4.9257141545180945,7.929331298329031,6.087248676391635,8.569289601003586,4.181406680374306,5.985979124230474,6.098040863618972,7.146430648087554,9.556547174533826,9.065229478870313,5.729425098055402,6.201566189028284,6.025480864202804,3.6835060575304617,5.8714700401410385,6.576307602115027,5.240566692681576,5.924222458210955,3.3360223499529926,6.591633651285676,5.204749541887958,4.3148186943331845,6.5915765314718175,7.951590042552558,7.568628930736942,3.93375118649318,7.779565415958889,7.039061974468744,7.278279868543072,7.0374709431910505,7.714210676260588,6.3757614361865125,5.964467406128099,5.487567090327312,7.050958216215106,8.322786982013994,6.567525501582444
YHR079C,5.677146983604125,6.0509486154125085,6.9583197332732425,4.8845802626311015,8.095852514905268,5.969915553231616,8.51051698688851,4.63629639422383,6.5610662223465885,6.180356917807457,6.5359505796861574,9.785890399483147,9.078088505081821,3.963811084353351,5.894675634371555,6.228566142696365,5.175944560500335,5.535864968171119,6.555408915666564,5.999831837448354,5.660578151259745,4.6729474334233405,6.434112284931032,5.050165921336761,4.31487442358443,5.708718447104199,7.8529138572842685,7.507948763576167,4.618064267767243,8.020525480522442,6.736744335987568,6.964484667391,7.134076174041624,7.3007806802648725,6.288849221988253,6.325495172564176,6.01602672698444,7.0922262951510575,8.275804095513033,6.3673421433579644
YHR082C,5.426639005375764,5.952052721749723,7.1685224632052735,4.684807872936618,7.8862353474989115,5.9682384843712315,8.891436215952877,5.220973538339667,6.2529922811954695,6.234133817147487,6.845337308876651,9.770196188399405,8.779914005726432,3.3386552609466915,6.112549115411954,6.528777398194334,5.140061139638124,5.923123974065683,6.235533234149942,5.694387409746565,5.527727731687127,4.967809067683717,6.761871374085772,4.391540414969628,3.959944530369568,6.095461453524817,7.956391407004647,7.859672008324982,5.196775440889847,8.176017567090561,6.627456196327974,6.726773419305049,6.922951194535592,7.59449832294567,6.236778966084198,6.0259522654974855,6.153601118451824,6.907430276466073,8.425764226651296,6.092294769325642
