,YBR085C-A,YBR106W,YBR126C,YCL009C,YDL130W,YDL171C,YDR002W,YDR019C,YDR427W,YER006W,YER012W,YGL087C,YGR034W,YGR155W,YGR175C,YGR254W,YHR174W,YJL012C,YJL020C,YJL158C,YJL167W,YJL217W,YJR070C,YJR109C,YKL145W,YLR197W,YLR344W,YML004C,YML092C,YMR091C,YMR131C,YMR315W,YNL231C,YNL255C,YNL287W,YOL139C,YOL154W,YOR074C,YOR209C,YOR259C
YDR490C,5.1833851615660596,4.918910929915528,6.861635410893254,7.559293547105478,6.89100416846443,6.394707126313093,6.716805688801617,7.059550241338223,5.071321525329238,5.108889106507171,6.326287430912452,4.9653269419643085,6.206716961585193,7.8213178313068275,6.189120620967418,9.676376736227862,10.299564387463997,4.851851568107199,5.331216385639387,5.963590844482321,5.726334685024142,5.624530843677723,5.195121931077964,7.147347806751545,6.140212733961022,6.684681512280598,5.5504637014991305,4.366915547097906,5.640642817641253,4.880163069810271,4.4723261319938565,4.955315601586227,5.294374556885557,3.9785270646845032,6.0213104050780535,6.844941312362202,5.69254567596252,4.941818153238252,5.802147345755037,5.235794904930447
YDR523C,5.377164276047855,4.8724986378768635,7.036015162168104,7.73888803959033,6.77714830155466,6.693707889406412,6.449208005735773,7.058421435262058,4.872633327558899,5.238300762699279,6.0931244610259565,4.834552475600902,6.197594497901991,7.674508709517156,6.4688410963067815,9.819362799370186,10.317398034031957,5.136581269603509,5.5940533148308385,5.727333702975137,5.835673195521458,6.422746777222465,5.451394442579619,7.42072560748265,6.279335515570352,6.711096253592613,5.683235459887527,4.166155937706709,5.711860488134064,5.249332557471316,4.214875343263752,5.0404981128500825,5.368807939529072,3.7903446200696433,5.823729012065224,6.980608169789853,6.654628499951284,4.5093276403204126,5.721165319975087,5.5470164133166895
YER129W,3.628217855048603,5.455517272538263,7.3367421280318466,7.328224420424268,5.6489860419221785,7.134725962422861,6.194286312138599,7.184810379313647,4.787920207816772,4.3885843617620495,5.859188794607043,3.3070223630212117,6.822274877443062,8.311668588490797,5.634676922168531,9.755761151816694,10.802982648636348,5.1116714033343085,5.29019764075505,3.789514140074764,4.908441632807657,5.28645883348328,5.837324815237332,6.749364510639698,6.349762311170281,7.1819224065418075,6.048923911261038,3.851654255515533,5.4108705851333845,5.348020165789165,3.8592047920228376,3.9599862764193143,5.602021580126887,3.3808445142497114,5.4830634038895525,7.3813592079916726,7.21545447163926,5.042843660260173,4.954525040751701,4.766313648837845
YFL033C,4.363312505675869,5.338335806214223,6.683583446726385,7.761976549088793,6.504042807745223,7.4797906868638435,6.463583836063994,7.2723891614208656,4.786775093777488,5.2134880423675165,5.916660195042058,3.9040838641729234,6.054226587727594,7.635757123749975,5.6593650897265375,9.51053919668654,10.669104541403305,5.412536279207228,5.046775971824472,5.4621132708350615,5.675911120796669,5.4620385044620505,5.422648590044738,7.145192353686959,6.594811697227706,6.549115533417102,5.481743148226942,4.6490356728641204,5.415079912097486,4.795005260854488,4.138974529406866,4.606078563868622,5.162354816577598,3.8600483246555615,5.754771998192086,7.0970704159468125,6.83835272311634,4.4067720129058605,5.744729080403638,5.052349872675814
YFR014C,3.8198543100900175,4.873612361050008,7.16868288073554,7.5014753178160465,6.354168687581062,6.729190691051867,6.310636956893205,7.147303373806608,4.128845470964001,4.863231117920403,6.1057466160479965,4.1601531376181935,6.6934989865302015,7.9585646104305905,5.59738643214675,9.758570231696282,10.35656603290253,5.375091444412719,5.424853568334278,5.684954229294479,5.43030210155571,5.469831357353289,5.682721818722086,7.091521444282964,6.2775582365442375,7.116967021804477,6.032972165973956,3.076356771838664,5.303094344150463,5.018292372831588,4.309491624605525,4.332441077547403,5.028315080653568,3.1942888166352783,5.345745781132055,7.013846849508398,7.336217157352324,4.534958951999955,5.590184460864519,4.043607737337164
YGL021W,4.634521450833125,4.928930932074697,7.608770013561957,7.405536978524866,6.4184159106302605,6.589801229590156,6.631234519299959,7.126046089305491,4.766177248607201,5.0301223389172005,6.082343820908428,4.738509396499159,6.659986199931858,7.9370964506269885,5.02225920399474,9.808837183625405,10.395338299357617,4.788618121748361,5.506861785322932,5.90439612723217,5.783318176981382,5.4796585138379585,5.663914636340038,6.890875170074988,6.159828610895548,7.12010177403887,6.0460914622887465,3.6484428098004575,5.522706745621231,5.365915264749397,4.330301021521354,4.1912260859107775,5.410174576402018,3.54001565142633,5.566585867142097,7.191700026706065,7.317561724808744,4.694563653175021,5.967749692225878,4.676087308073767
YGL083W,4.3638606688449295,5.083050340645527,6.8713328880052265,7.454594226034819,6.412301255280059,6.7930069754217675,6.4312089521032245,7.804383671204183,4.428661156007707,5.191018899227988,6.001326594227746,4.36985819970447,6.511772614855822,8.095568702046302,5.598337748143831,9.593738868767707,10.569951571205813,5.330440470006233,5.263097889246977,6.047610880392318,5.689024192808485,5.608772093386576,5.807255892540157,7.100298641110495,6.283943136550831,7.1233827932834615,5.729968066501295,3.223543705620315,5.370472994857078,5.208773081820974,3.75524499808402,4.0498160172324535,5.110574645963379,3.398534412212053,5.145816454162384,6.985074984937817,7.422599597516344,4.671337540654682,5.974485709594375,4.594286324728262
YGL119W,4.354806944724063,5.077944467072681,7.023637069359503,7.568656183034091,6.518692556543987,6.384864894925637,6.648975451417488,7.132253271783558,4.837650567438659,5.3271302407623935,6.050232137900068,4.563163871771256,6.032469664065517,7.894747014107837,5.305428157002672,9.550366823936226,10.66293489971825,5.377912940203209,5.341771201547388,5.978780935504988,5.668866662061245,5.551517951081222,5.561218348067012,7.029639343207549,6.170344159989659,6.821511531785295,5.369673137044319,4.672896903612296,5.529792470029829,5.033114559434969,4.207042611877776,4.847490059884483,5.373523736900639,3.7905524885823216,5.998011528178709,7.159748062082244,4.0301614529769925,4.856446308487959,5.915680603700492,5.146102469428717
YGL158W,4.3930138341458465,5.6151105694109535,6.7512059067531345,7.603952439419782,6.872479529217478,7.70037000672357,6.498929952867672,7.313895483075285,5.142922372340965,5.145002544218267,6.18121978340286,3.204907979104166,6.207115484765903,7.7915500609807875,6.146413844538103,9.582564623463405,10.161767916031556,5.669349340677545,5.689396813521426,5.556507020898678,5.69035392408818,6.1007991788450076,5.815749950930753,7.197114714713619,6.115088632913207,6.981525480934192,5.6431496787381965,3.6968781649338833,4.630798337766091,4.938064407688212,4.060006214058691,3.9522851431128285,5.284491235283412,3.525026122881964,5.830695684453268,7.111953687228827,6.902216155320457,4.70502065046727,5.727991052664378,4.545344713235371
YGL179C,4.4172101448236205,5.012486455344278,6.693061700832952,7.635821522573183,6.345156291749619,6.582599275680686,6.68714673361959,7.354131358870009,4.581197742218304,5.33323632883739,5.96294472594538,4.429117537667724,6.097924957812352,7.865310358747605,5.305826137909358,9.485300106709694,10.558480005362684,4.9331480067445455,5.081455143755455,5.8156429229906506,5.589028082979647,5.531923085334963,5.677898735796274,7.193655156511978,5.938371959078461,6.803549495956233,5.5450978976463565,4.536710637569704,5.446397575708359,5.059228598556185,4.413223030545772,4.834879334506085,5.072845243786477,3.781912163281042,5.839828125592603,7.078939909016973,6.965346671265861,4.781012597550216,5.862961722040563,5.15178246432671
YGL180W,4.688928753111546,4.705115135061711,6.774090325339531,7.6290859710125725,6.5480713695295085,6.872189276818255,6.746895931592582,7.615266629595053,4.869672570300542,5.021726213715435,6.030942679743568,4.399500465452479,6.164724812756621,7.93592519153808,5.107312342637681,9.696892898817804,10.525692710747574,4.743448120427717,5.3704795764126585,5.714616281242175,5.4253082603670455,5.797426339016028,5.581465570997267,6.903313561025622,6.194947651324076,6.715711325457956,5.503276078746141,3.764113418907964,5.5403077275910615,4.8169250584669365,4.080403305927845,5.015245559818536,4.724699359594084,4.039346741222815,5.628200344348223,7.040456578380791,6.197986167289259,3.9064501458230843,5.790173111472736,5.092200103416274
YGR040W,4.766831695368951,5.230938502128092,7.1504655111648185,7.579153040354308,6.718189912280573,6.498504676445056,6.1992347076098975,6.973403771345388,4.479150556627432,5.428297992725277,5.908544995542928,3.8167993568408543,6.4276182432381175,7.655182375716349,5.502089458665897,9.66045378039692,10.032940069540366,5.048621567105809,4.943507087059566,5.738571820655148,5.286389375194314,5.438105137965958,5.432083941967151,7.142442520338942,6.21914834573493,7.195004621427299,5.882169544238683,3.880238386594075,5.508112167342417,5.122672398800568,4.398102720360946,5.238072926751387,5.124935729073168,4.111386029687214,5.5089192519728085,7.039495243630299,6.750053980000849,4.881755885473653,5.6727665406135,5.087840793976274
YGR052W,5.021932609322909,4.3963020843634375,6.6765773610472845,7.6294368113018685,7.529910030074303,6.7428643632357,7.1518740688988425,7.488471874479942,4.660174401882263,5.4417503572758354,6.169487531385214,4.751501244888929,6.0221690107452925,8.165799213316102,5.877356364864219,9.369808274374698,11.00341388965363,5.399690156713663,5.897089366988442,6.183745192423067,5.7849877588228695,6.1683266850401655,5.722203071040398,6.658578215079638,6.487932646244893,6.706057893634335,5.507380369072099,4.41346420904997,5.711312269280492,4.783171996635944,4.841036872248377,4.216518614860518,5.048646075922966,4.308355539210133,5.629597402846619,6.8925031550770575,6.846086159179842,4.64102856791956,6.5064563514397165,5.2450691664308415
YGR092W,4.661414873951323,5.403811365246444,7.427270105086068,7.45051754858116,6.981357860116991,7.101211701816764,6.2969927786583755,7.009594266046273,4.896406591405979,5.253299298325673,5.994326910229932,4.510020202945399,6.312586575353415,7.645708257307413,4.948129404482688,9.75815181740226,10.77752309719886,5.589374211293002,5.346239880843513,6.206490696862688,5.625895105992955,5.167468662819956,5.478688655465486,7.1994708283273186,6.191731883541754,6.929918476122112,5.742714852619711,4.746079666172543,5.521712663048883,4.987143340831146,4.130672422836014,4.2722804680485424,5.568175411403352,3.1253032737100552,5.886490083826111,7.157877013596461,4.6386519996378945,4.5134093329063765,5.9140023943257125,4.860320789914675
YGR188C,5.292015732050018,5.405974990461633,7.244261034964877,7.602918227561313,6.8461346100737694,6.5349634801892815,6.350132271752861,6.985141946650917,5.100157980026523,5.375442440667835,6.274060094185902,4.829372418297392,6.645053629597496,7.6870177672930815,5.2854638031642365,9.530218764321443,10.501217823750581,4.987506610242656,5.462227515159335,5.86754504581859,5.647821103896452,5.424389577088935,5.750441218108585,7.277486236808636,6.463151433844316,7.148248312435029,5.933050998743223,4.102373691207472,5.717620695544308,5.094846704042562,4.095920335521531,4.448737834606224,5.287695947123324,3.545296378774893,5.8017479387255575,7.166533109635192,6.590225473825124,4.425441352267495,6.0614551111635855,4.951499480705111
YHL007C,4.496105883744592,5.678858926363515,6.416054968882908,7.844805879796171,7.098394831553619,6.499659253051213,6.282065664006858,7.069851016818959,5.161125623733379,5.5442990883101535,5.910828822900762,4.909953703964232,6.443745351130168,7.550208116226496,5.428822169144274,9.460919207950463,10.437309315045557,3.151005598959314,5.261316918491299,5.274129842159399,5.739988583617259,5.584580288440083,5.4322869572983565,7.56722484383348,6.017584957268058,6.908513852333956,5.782382949490594,4.218678161549736,5.772231236924004,4.672231587940233,4.346155485218132,4.546080131862322,5.594437258948758,3.996376869916368,5.837430533686536,7.181416816188418,6.545262874649091,3.736916776991438,5.546356126861193,5.0438920863699455
YHR030C,4.948106309404012,5.378333348338216,6.7626850690512015,8.070227547630529,5.9854761917707195,6.832543444717518,6.551898810163259,6.960852873751639,4.181406680374306,5.310661664438402,6.098040863618972,5.203061588168962,6.163071940621502,7.580859052744267,6.516039160002878,9.899211793061903,10.750205523671804,5.204749541887958,5.247313835991901,6.020525687643068,5.488770280399127,6.5915765314718175,5.211336792384813,7.568628930736942,6.1914647590835825,7.039061974468744,5.240342223834906,4.332955896345487,5.78108074444784,5.130669776480419,4.448082040901988,5.312706962568506,5.36497686737182,3.5845267873264133,5.851808410269348,7.030083732157779,6.349101050848138,4.342906594839132,6.049430379482262,5.2560758335042586
YHR079C,4.842025533557728,4.72871776586074,6.7647204338104245,7.537110333881425,6.958540218094227,6.944885923773985,6.636639525916044,6.9520505061844515,4.63629639422383,4.970164168046448,6.180356917807457,4.948323628395329,6.1421894209584025,7.605591345357745,5.981312992737003,9.604874222458069,10.370505934903713,5.050165921336761,5.559424083969941,6.81538854998522,5.663774218718006,5.708718447104199,5.443876835323075,7.507948763576167,5.877770617041644,6.736744335987568,5.5876442615598165,4.052684300275308,5.516026056481284,4.9404824829558915,4.469556916907174,4.966689269345113,4.832124391912938,4.10392878149754,5.610416662527788,6.854365994595406,5.669981865391326,4.675526116718703,6.047618256120782,5.0518621640323484
YHR082C,4.891636714262496,5.2890993771019525,5.9505513426811465,7.9435928640477265,7.1951213309694735,6.8443200816748035,6.520479335932128,6.782352119974179,5.220973538339667,5.325366937086561,6.234133817147487,5.165828776870517,6.160697949580017,7.434250309241802,5.615691026181308,9.449308616661687,10.635379990272114,4.391540414969628,5.446342143244455,5.458548821987772,5.682030363744103,6.095461453524817,5.0279192823139525,7.859672008324982,5.858149853908127,6.627456196327974,5.541383418847717,4.253937807285003,5.568958247260295,4.534511906690651,4.172857592105745,5.176874091200825,5.143630317823428,3.8782168646782935,5.6385742133872645,6.721357496510866,6.6691810521307024,3.87960969831653,5.711205350833027,5.375504787868394
